#1
double	default(35136,2)
0	0.8894
900	0.8894
1800	0.8894
2700	0.8894
3600	0.8894
4500	0.8894
5400	0.8894
6300	0.8894
7200	0.8894
8100	0.8894
9000	0.890373
9900	0.8929776
10800	0.8928145
11700	0.8927613
12600	0.8928252
13500	0.8938142
14400	0.8954306
15300	0.8970469
16200	0.8992832
17100	0.8999462
18000	0.9004673
18900	0.9013331
19800	0.9021776
20700	0.9032665
21600	0.9044164
22500	0.9056464
23400	0.9069598
24300	0.9073286
25200	0.9080635
26100	0.9087511
27000	0.9094671
27900	0.9098491
28800	0.9102705
29700	0.9106919
30600	0.9113864
31500	0.9117589
32400	0.9120209
33300	0.9122956
34200	0.9127091
35100	0.91333
36000	0.9138549
36900	0.9140783
37800	0.9143372
38700	0.9146068
39600	0.9152381
40500	0.9155218
41400	0.9155147
42300	0.9157168
43200	0.9161843
44100	0.9167381
45000	0.9170189
45900	0.9171691
46800	0.9176951
47700	0.9174578
48600	0.9174776
49500	0.9175843
50400	0.9174934
51300	0.9175804
52200	0.9181656
53100	0.9183633
54000	0.9184068
54900	0.9182526
55800	0.9170663
56700	0.9164916
57600	0.9159487
58500	0.9154118
59400	0.9141989
60300	0.9129718
61200	0.9133938
62100	0.9134648
63000	0.9135074
63900	0.9126618
64800	0.9116106
65700	0.9123082
66600	0.9120494
67500	0.9122293
68400	0.91186
69300	0.9123335
70200	0.9128583
71100	0.9136208
72000	0.9147522
72900	0.9158835
73800	0.9168172
74700	0.9178295
75600	0.9183712
76500	0.9188299
77400	0.9190948
78300	0.9193875
79200	0.919344
80100	0.9193005
81000	0.9193637
81900	0.9200241
82800	0.9207556
83700	0.9213591
84600	0.9212336
85500	0.9212812
86400	0.9212357
87300	0.9211906
88200	0.9212465
89100	0.9210878
90000	0.9211629
90900	0.9213634
91800	0.9218954
92700	0.9224592
93600	0.9203503
94500	0.9183475
95400	0.9141138
96300	0.9122514
97200	0.9110581
98100	0.9105972
99000	0.9102532
99900	0.9099722
100800	0.909505
101700	0.9090728
102600	0.9088454
103500	0.9087733
104400	0.9089923
105300	0.9088288
106200	0.9084128
107100	0.9078582
108000	0.9077362
108900	0.9076143
109800	0.9076808
110700	0.9074701
111600	0.9070791
112500	0.906957
113400	0.9074811
114300	0.9073148
115200	0.9073231
116100	0.9073314
117000	0.9068794
117900	0.9068739
118800	0.9067352
119700	0.9070264
120600	0.9074007
121500	0.9079165
122400	0.9078111
123300	0.9077057
124200	0.907373
125100	0.906763
126000	0.9065578
126900	0.906555
127800	0.9063747
128700	0.9064829
129600	0.9064053
130500	0.9063276
131400	0.9061862
132300	0.9061098
133200	0.9060954
134100	0.9059856
135000	0.9059115
135900	0.9057754
136800	0.9051831
137700	0.9046958
138600	0.9046385
139500	0.9040963
140400	0.903567
141300	0.9030842
142200	0.9026533
143100	0.9018943
144000	0.9010338
144900	0.9007853
145800	0.9003951
146700	0.8995522
147600	0.8991559
148500	0.8987543
149400	0.8989873
150300	0.8982665
151200	0.8974838
152100	0.896672
153000	0.8968176
153900	0.8976986
154800	0.8982155
155700	0.8986451
156600	0.8979643
157500	0.897411
158400	0.8965227
159300	0.8941418
160200	0.8926266
161100	0.8913787
162000	0.8902468
162900	0.8903355
163800	0.8906944
164700	0.8903969
165600	0.8894384
166500	0.8894
167400	0.8894
168300	0.8894
169200	0.8894
170100	0.8894
171000	0.8894
171900	0.8894
172800	0.8894
173700	0.8894
174600	0.8894
175500	0.8894
176400	0.8894
177300	0.8894
178200	0.8894
179100	0.8894
180000	0.8894
180900	0.8894
181800	0.8894
182700	0.8894
183600	0.8894
184500	0.8894
185400	0.8894
186300	0.8894
187200	0.8894
188100	0.8894
189000	0.8894
189900	0.8894
190800	0.8894
191700	0.8894
192600	0.8894
193500	0.8894
194400	0.8894
195300	0.8894
196200	0.8894
197100	0.8894
198000	0.8894
198900	0.8894
199800	0.8894
200700	0.8894
201600	0.8894
202500	0.8894
203400	0.8894
204300	0.8894
205200	0.8894
206100	0.8894
207000	0.8894
207900	0.8894
208800	0.8894
209700	0.8900524
210600	0.8908043
211500	0.8915028
212400	0.8922047
213300	0.8926372
214200	0.891563
215100	0.8900285
216000	0.8894
216900	0.8894
217800	0.8894
218700	0.8894
219600	0.8894
220500	0.8895782
221400	0.8903458
222300	0.8914992
223200	0.8930946
224100	0.8950374
225000	0.8978879
225900	0.8996435
226800	0.9001744
227700	0.9007051
228600	0.9013706
229500	0.9024876
230400	0.9030762
231300	0.9034107
232200	0.9036151
233100	0.9037237
234000	0.9041178
234900	0.9045262
235800	0.9051424
236700	0.9063415
237600	0.9079442
238500	0.9084627
239400	0.9072011
240300	0.9036552
241200	0.9019264
242100	0.9011407
243000	0.9010124
243900	0.9018355
244800	0.9018596
245700	0.901881
246600	0.901448
247500	0.9011835
248400	0.9010819
249300	0.9011888
250200	0.9009269
251100	0.9011407
252000	0.9017794
252900	0.9002537
253800	0.8959876
254700	0.8931194
255600	0.8911766
256500	0.891602
257400	0.8926798
258300	0.8933534
259200	0.8935909
260100	0.894302
261000	0.8942474
261900	0.8949354
262800	0.8950847
263700	0.8948881
264600	0.8945568
265500	0.8942183
266400	0.8948481
267300	0.8954779
268200	0.8954487
269100	0.895547
270000	0.8956162
270900	0.8953905
271800	0.8948371
272700	0.8946843
273600	0.8931353
274500	0.8916127
275400	0.893052
276300	0.8941928
277200	0.8944076
278100	0.8945495
279000	0.8942692
279900	0.8943347
280800	0.8937322
281700	0.8931442
282600	0.8927861
283500	0.8928358
284400	0.8919814
285300	0.8907086
286200	0.8894
287100	0.8894
288000	0.8894
288900	0.8894
289800	0.8894
290700	0.8894
291600	0.8894
292500	0.8894
293400	0.8894
294300	0.8894
295200	0.8894077
296100	0.8894
297000	0.8894
297900	0.8894
298800	0.8894
299700	0.8894
300600	0.8894
301500	0.8894
302400	0.8894
303300	0.8894
304200	0.8894
305100	0.8894
306000	0.8894
306900	0.8899262
307800	0.8894
308700	0.8897113
309600	0.8894
310500	0.8894
311400	0.8894
312300	0.8894
313200	0.8894
314100	0.8894
315000	0.8894
315900	0.8894
316800	0.889435
317700	0.890659
318600	0.8909745
319500	0.8913609
320400	0.891166
321300	0.8905243
322200	0.8908965
323100	0.8910029
324000	0.8908469
324900	0.891088
325800	0.8920735
326700	0.8933356
327600	0.8939416
328500	0.8936122
329400	0.893876
330300	0.8945059
331200	0.8945896
332100	0.8947571
333000	0.8944549
333900	0.8924529
334800	0.8913042
335700	0.8909816
336600	0.8902264
337500	0.8895066
338400	0.8898272
339300	0.8903116
340200	0.890581
341100	0.8897795
342000	0.8894
342900	0.8894
343800	0.8895612
344700	0.8897318
345600	0.889759
346500	0.8900524
347400	0.8896874
348300	0.8894
349200	0.8894
350100	0.8894
351000	0.8894998
351900	0.8902775
352800	0.89129
353700	0.8922792
354600	0.8929031
355500	0.8930131
356400	0.8936157
357300	0.8940289
358200	0.8942619
359100	0.8947789
360000	0.8949136
360900	0.895598
361800	0.8964936
362700	0.8983757
363600	0.8998573
364500	0.9001216
365400	0.9006971
366300	0.9013225
367200	0.9022338
368100	0.9026319
369000	0.9002321
369900	0.8984777
370800	0.8993384
371700	0.8989473
372600	0.8992736
373500	0.8993144
374400	0.899122
375300	0.8995955
376200	0.8997228
377100	0.8997805
378000	0.8999246
378900	0.8996315
379800	0.8995522
380700	0.8995498
381600	0.899533
382500	0.8997612
383400	0.9001096
384300	0.90016
385200	0.899766
386100	0.8993313
387000	0.8946806
387900	0.8936654
388800	0.8894
389700	0.8902775
390600	0.8911305
391500	0.8905632
392400	0.8894
393300	0.8894
394200	0.8921161
395100	0.894484
396000	0.8961295
396900	0.8969777
397800	0.8972435
398700	0.8972217
399600	0.893927
400500	0.8928819
401400	0.892265
402300	0.8915063
403200	0.8908717
404100	0.8903219
405000	0.889742
405900	0.8905526
406800	0.8924316
407700	0.8937377
408600	0.8922402
409500	0.8932541
410400	0.891602
411300	0.8899125
412200	0.8913468
413100	0.892662
414000	0.8934774
414900	0.894353
415800	0.8948298
416700	0.8940872
417600	0.8930201
418500	0.8924706
419400	0.8922047
420300	0.8921303
421200	0.8920417
422100	0.8914709
423000	0.8918927
423900	0.8921799
424800	0.8924068
425700	0.8911979
426600	0.8894
427500	0.8894
428400	0.8894
429300	0.8894
430200	0.8894
431100	0.8894
432000	0.8894
432900	0.8894589
433800	0.8898409
434700	0.8899023
435600	0.8894
436500	0.8894
437400	0.8894
438300	0.8894
439200	0.8894
440100	0.8894
441000	0.8894
441900	0.8894
442800	0.8894
443700	0.8894
444600	0.8894
445500	0.8894
446400	0.8894
447300	0.8894
448200	0.8894
449100	0.8894
450000	0.8894
450900	0.8894
451800	0.8894
452700	0.8894
453600	0.8894
454500	0.8894
455400	0.8894
456300	0.8894
457200	0.8894
458100	0.8894
459000	0.8894
459900	0.8894
460800	0.8894
461700	0.8894
462600	0.8894
463500	0.8894
464400	0.8894
465300	0.8894
466200	0.8894
467100	0.8894
468000	0.8894
468900	0.8894
469800	0.8894
470700	0.8894
471600	0.8894
472500	0.8894
473400	0.8900319
474300	0.8922969
475200	0.8952777
476100	0.8957728
477000	0.8962751
477900	0.8960931
478800	0.8973928
479700	0.8990055
480600	0.8969195
481500	0.8966974
482400	0.8952121
483300	0.8943621
484200	0.8935165
485100	0.8956162
486000	0.8961769
486900	0.8936051
487800	0.8901376
488700	0.8894
489600	0.8894
490500	0.8894
491400	0.8897249
492300	0.8894
493200	0.8894
494100	0.8894
495000	0.8894
495900	0.8894
496800	0.8894657
497700	0.8894
498600	0.8899194
499500	0.8898136
500400	0.8900933
501300	0.8894
502200	0.8894
503100	0.8894
504000	0.8894
504900	0.8894
505800	0.8894
506700	0.8894
507600	0.8894
508500	0.8896635
509400	0.8896498
510300	0.8894
511200	0.8894281
512100	0.8897181
513000	0.8894
513900	0.8894
514800	0.8894
515700	0.8894
516600	0.8894
517500	0.8894
518400	0.8894
519300	0.8894
520200	0.8894
521100	0.8894
522000	0.8894
522900	0.8894
523800	0.8894
524700	0.8894
525600	0.8894
526500	0.8894
527400	0.8894
528300	0.8894
529200	0.8894
530100	0.8894
531000	0.8894
531900	0.8894
532800	0.8894
533700	0.8894
534600	0.8894
535500	0.8894
536400	0.8894
537300	0.8894
538200	0.8894
539100	0.8894
540000	0.8894
540900	0.8894
541800	0.8894
542700	0.8894
543600	0.8894
544500	0.8894
545400	0.8894
546300	0.8894
547200	0.8897897
548100	0.8903526
549000	0.8908682
549900	0.8913787
550800	0.8922756
551700	0.8936725
552600	0.8948881
553500	0.8959584
554400	0.897127
555300	0.8979789
556200	0.8988781
557100	0.899485
558000	0.8998717
558900	0.9002945
559800	0.9008441
560700	0.9012904
561600	0.9008173
562500	0.9006623
563400	0.9001696
564300	0.9003017
565200	0.900967
566100	0.9013037
567000	0.9012877
567900	0.9016538
568800	0.9011621
569700	0.9006062
570600	0.8996027
571500	0.8986997
572400	0.8980335
573300	0.8981282
574200	0.8971234
575100	0.8961987
576000	0.8960057
576900	0.8963625
577800	0.896803
578700	0.8978151
579600	0.8970251
580500	0.8966647
581400	0.8951757
582300	0.8944112
583200	0.8943857
584100	0.8945677
585000	0.8947571
585900	0.8953577
586800	0.8952121
587700	0.8956417
588600	0.8961368
589500	0.8968868
590400	0.8968831
591300	0.8954706
592200	0.8947607
593100	0.8937996
594000	0.8931513
594900	0.8936795
595800	0.894069
596700	0.8941018
597600	0.8937158
598500	0.8939125
599400	0.8943202
600300	0.8944039
601200	0.8939015
602100	0.892974
603000	0.8929067
603900	0.8929563
604800	0.8919956
605700	0.8917757
606600	0.8923217
607500	0.8934704
608400	0.8940435
609300	0.8938324
610200	0.8926266
611100	0.8909994
612000	0.8920771
612900	0.8922295
613800	0.8916055
614700	0.8910773
615600	0.8912121
616500	0.8933179
617400	0.8949718
618300	0.8954123
619200	0.8946769
620100	0.8948736
621000	0.8944695
621900	0.8939889
622800	0.8939125
623700	0.8919105
624600	0.8912333
625500	0.8908965
626400	0.8914637
627300	0.8914035
628200	0.8920097
629100	0.8926089
630000	0.8929208
630900	0.8937122
631800	0.8944767
632700	0.8948153
633600	0.8946588
634500	0.8947097
635400	0.8946806
636300	0.8947607
637200	0.8946952
638100	0.8947716
639000	0.8948808
639900	0.8954997
640800	0.8962824
641700	0.8963006
642600	0.8987871
643500	0.8990965
644400	0.8986233
645300	0.8995498
646200	0.9002008
647100	0.9004405
648000	0.9008307
648900	0.9018863
649800	0.9014534
650700	0.9013491
651600	0.900951
652500	0.9032766
653400	0.903965
654300	0.9026854
655200	0.9014694
656100	0.9011968
657000	0.9010044
657900	0.9010018
658800	0.9013759
659700	0.9014374
660600	0.9012075
661500	0.9007158
662400	0.9006944
663300	0.9004325
664200	0.8993601
665100	0.897866
666000	0.8974547
666900	0.8973528
667800	0.8968249
668700	0.8963006
669600	0.896115
670500	0.8961769
671400	0.8965991
672300	0.8968394
673200	0.8964644
674100	0.8956781
675000	0.8956162
