#1
double	default(35136,2)
0	0.666
900	0.666
1800	0.666
2700	0.666
3600	0.666
4500	0.666
5400	0.666
6300	0.666
7200	0.666
8100	0.666
9000	0.6609152
9900	0.6473048
10800	0.6481572
11700	0.648435
12600	0.6481015
13500	0.6429332
14400	0.6344866
15300	0.62604
16200	0.6143541
17100	0.6108895
18000	0.6081667
18900	0.6036421
19800	0.5992292
20700	0.593539
21600	0.5875303
22500	0.5811025
23400	0.5742391
24300	0.5723119
25200	0.5684719
26100	0.5648785
27000	0.5611368
27900	0.5591409
28800	0.5569387
29700	0.5547365
30600	0.5511072
31500	0.5491608
32400	0.5477917
33300	0.5463566
34200	0.5441955
35100	0.540951
36000	0.5382081
36900	0.5370404
37800	0.5356876
38700	0.5342791
39600	0.5309802
40500	0.5294976
41400	0.5295347
42300	0.5284783
43200	0.5260356
44100	0.5231414
45000	0.5216743
45900	0.5208891
46800	0.5181409
47700	0.5193807
48600	0.5192774
49500	0.5187194
50400	0.5191947
51300	0.5187401
52200	0.515682
53100	0.5146488
54000	0.5144215
54900	0.5152274
55800	0.5214263
56700	0.5244297
57600	0.5272665
58500	0.5300721
59400	0.5364103
60300	0.5428227
61200	0.5406174
62100	0.5402467
63000	0.5400242
63900	0.5444429
64800	0.5499362
65700	0.5462905
66600	0.5476432
67500	0.5467029
68400	0.5486329
69300	0.5461586
70200	0.543416
71100	0.5394313
72000	0.5335192
72900	0.5276072
73800	0.5227281
74700	0.5174383
75600	0.5146075
76500	0.5122105
77400	0.5108261
78300	0.509297
79200	0.5095243
80100	0.5097516
81000	0.509421
81900	0.5059703
82800	0.5021476
83700	0.4989942
84600	0.49965
85500	0.4994012
86400	0.4996387
87300	0.4998746
88200	0.4995821
89100	0.5004119
90000	0.5000193
90900	0.4989715
91800	0.4961915
92700	0.493245
93600	0.5042656
94500	0.5147315
95400	0.5368552
96300	0.5465876
97200	0.5528229
98100	0.5552314
99000	0.5570293
99900	0.5584975
100800	0.5609388
101700	0.5631974
102600	0.5643857
103500	0.5647624
104400	0.5636179
105300	0.5644726
106200	0.5666462
107100	0.5695443
108000	0.5701818
108900	0.5708192
109800	0.5704716
110700	0.5715727
111600	0.573616
112500	0.5742537
113400	0.571515
114300	0.5723842
115200	0.5723408
116100	0.5722973
117000	0.5746593
117900	0.5746882
118800	0.5754128
119700	0.5738912
120600	0.5719352
121500	0.5692399
122400	0.5697905
123300	0.5703413
124200	0.5720801
125100	0.5752679
126000	0.5763401
126900	0.5763546
127800	0.5772965
128700	0.5767314
129600	0.577137
130500	0.5775429
131400	0.5782818
132300	0.5786812
133200	0.5787561
134100	0.5793301
135000	0.579717
135900	0.5804286
136800	0.5835237
137700	0.5860699
138600	0.5863694
139500	0.5892028
140400	0.5919685
141300	0.5944915
142200	0.5967431
143100	0.6007094
144000	0.6052061
144900	0.6065049
145800	0.6085437
146700	0.6129484
147600	0.6150194
