#1
double	default(35136,2)
0	0.894905
900	0.8950647
1800	0.895238
2700	0.8954344
3600	0.8956316
4500	0.8963487
5400	0.8965423
6300	0.8965283
7200	0.8963185
8100	0.8961086
9000	0.8959134
9900	0.8957031
10800	0.8954926
11700	0.8952819
12600	0.895071
13500	0.8948598
14400	0.8946485
15300	0.894437
16200	0.8942252
17100	0.8939007
18000	0.8933971
18900	0.8928927
19800	0.8923375
20700	0.890871
21600	0.8911783
22500	0.8894097
23400	0.8893617
24300	0.8893617
25200	0.8893617
26100	0.8893617
27000	0.8893617
27900	0.8893617
28800	0.8893617
29700	0.8893617
30600	0.8893617
31500	0.8893617
32400	0.8893617
33300	0.8893617
34200	0.8893617
35100	0.8893617
36000	0.8893617
36900	0.8893617
37800	0.8893617
38700	0.8893617
39600	0.8893617
40500	0.8893617
41400	0.8893617
42300	0.8893617
43200	0.8893617
44100	0.8893617
45000	0.8893617
45900	0.8893617
46800	0.8893617
47700	0.8893617
48600	0.8893617
49500	0.8893617
50400	0.8893617
51300	0.8893617
52200	0.8893617
53100	0.8893617
54000	0.8893617
54900	0.8893617
55800	0.8893617
56700	0.8893617
57600	0.8893617
58500	0.8893617
59400	0.8893617
60300	0.8893617
61200	0.8893617
62100	0.8893617
63000	0.8893617
63900	0.8893617
64800	0.8893617
65700	0.8893617
66600	0.8893617
67500	0.8893617
68400	0.8893617
69300	0.8893617
70200	0.8893617
71100	0.8893617
72000	0.8893617
72900	0.8893617
73800	0.8893617
74700	0.8893617
75600	0.8893617
76500	0.8893617
77400	0.8893617
78300	0.8893617
79200	0.8893617
80100	0.8893617
81000	0.8893617
81900	0.8893617
82800	0.8893617
83700	0.8893617
84600	0.8893617
85500	0.8893617
86400	0.8893617
87300	0.8893617
88200	0.8893617
89100	0.8893617
90000	0.8893617
90900	0.8893617
91800	0.8893617
92700	0.8893617
93600	0.8893617
94500	0.8893617
95400	0.8893617
96300	0.8893617
97200	0.8893617
98100	0.8893617
99000	0.8893617
99900	0.8893617
100800	0.8893617
101700	0.8893617
102600	0.8893617
103500	0.8893617
104400	0.8893617
105300	0.8893617
106200	0.8893617
107100	0.8893617
108000	0.8893617
108900	0.8893617
109800	0.8893617
110700	0.8893617
111600	0.8893617
112500	0.8893617
113400	0.8893617
114300	0.8893617
115200	0.8893617
116100	0.8893617
117000	0.8893617
117900	0.8893617
118800	0.8893617
119700	0.8893617
120600	0.8893617
121500	0.8893617
122400	0.8893617
123300	0.8893617
124200	0.8893617
125100	0.8893617
126000	0.8893617
126900	0.8893617
127800	0.8893617
128700	0.8893617
129600	0.8893617
130500	0.8893617
131400	0.8893617
132300	0.8893617
133200	0.8893617
134100	0.8893617
135000	0.8893617
135900	0.8893617
136800	0.8893617
137700	0.8893617
138600	0.8893617
139500	0.8893617
140400	0.8893617
141300	0.8893617
142200	0.8893617
143100	0.8893617
144000	0.8893617
144900	0.8893617
145800	0.8893617
146700	0.8893617
147600	0.8893617
148500	0.8893617
149400	0.8893617
150300	0.8893617
151200	0.8893617
152100	0.8893617
153000	0.8893617
153900	0.8893617
154800	0.8893617
155700	0.8893617
156600	0.8893617
157500	0.8893617
158400	0.8893617
159300	0.8893617
160200	0.8893617
161100	0.8893617
162000	0.8893617
162900	0.8893617
163800	0.8893617
164700	0.8893617
165600	0.8893617
166500	0.8893617
167400	0.8893617
168300	0.8893617
169200	0.8893617
170100	0.8893617
171000	0.8893617
171900	0.8893617
172800	0.8893617
173700	0.8893617
174600	0.8893617
175500	0.8893617
176400	0.8893617
177300	0.8893617
