#1
double	default(35136,2)
0	0.6369936
900	0.6361593
1800	0.6352538
2700	0.6342277
3600	0.6331973
4500	0.6294505
5400	0.6284391
6300	0.6285122
7200	0.629608
8100	0.630705
9000	0.6317247
9900	0.6328236
10800	0.6339235
11700	0.6350245
12600	0.6361265
13500	0.6372297
14400	0.6383339
15300	0.6394391
16200	0.6405455
17100	0.6422414
18000	0.6448723
18900	0.647508
19800	0.6504089
20700	0.6580711
21600	0.6564658
22500	0.6657065
23400	0.6659574
24300	0.6659574
25200	0.6659574
26100	0.6659574
27000	0.6659574
27900	0.6659574
28800	0.6659574
29700	0.6659574
30600	0.6659574
31500	0.6659574
32400	0.6659574
33300	0.6659574
34200	0.6659574
35100	0.6659574
36000	0.6659574
36900	0.6659574
37800	0.6659574
38700	0.6659574
39600	0.6659574
40500	0.6659574
41400	0.6659574
42300	0.6659574
43200	0.6659574
44100	0.6659574
45000	0.6659574
45900	0.6659574
46800	0.6659574
47700	0.6659574
48600	0.6659574
49500	0.6659574
50400	0.6659574
51300	0.6659574
52200	0.6659574
53100	0.6659574
54000	0.6659574
54900	0.6659574
55800	0.6659574
56700	0.6659574
57600	0.6659574
58500	0.6659574
59400	0.6659574
60300	0.6659574
61200	0.6659574
62100	0.6659574
63000	0.6659574
63900	0.6659574
64800	0.6659574
65700	0.6659574
66600	0.6659574
67500	0.6659574
68400	0.6659574
69300	0.6659574
70200	0.6659574
71100	0.6659574
72000	0.6659574
72900	0.6659574
73800	0.6659574
74700	0.6659574
75600	0.6659574
76500	0.6659574
77400	0.6659574
78300	0.6659574
79200	0.6659574
80100	0.6659574
81000	0.6659574
81900	0.6659574
82800	0.6659574
83700	0.6659574
84600	0.6659574
85500	0.6659574
86400	0.6659574
87300	0.6659574
88200	0.6659574
89100	0.6659574
90000	0.6659574
90900	0.6659574
91800	0.6659574
92700	0.6659574
93600	0.6659574
94500	0.6659574
95400	0.6659574
96300	0.6659574
97200	0.6659574
98100	0.6659574
99000	0.6659574
99900	0.6659574
100800	0.6659574
101700	0.6659574
102600	0.6659574
103500	0.6659574
104400	0.6659574
105300	0.6659574
106200	0.6659574
107100	0.6659574
108000	0.6659574
108900	0.6659574
109800	0.6659574
110700	0.6659574
111600	0.6659574
112500	0.6659574
113400	0.6659574
114300	0.6659574
115200	0.6659574
116100	0.6659574
117000	0.6659574
117900	0.6659574
118800	0.6659574
119700	0.6659574
120600	0.6659574
121500	0.6659574
122400	0.6659574
123300	0.6659574
124200	0.6659574
125100	0.6659574
126000	0.6659574
126900	0.6659574
127800	0.6659574
128700	0.6659574
129600	0.6659574
130500	0.6659574
131400	0.6659574
132300	0.6659574
