#1
double	default(35136,2)
0	4.496478e+08
900	4.489571e+08
1800	4.482075e+08
2700	4.47358e+08
3600	4.46505e+08
4500	4.433387e+08
5400	4.425015e+08
6300	4.42562e+08
7200	4.434691e+08
8100	4.443771e+08
9000	4.452859e+08
9900	4.461956e+08
10800	4.471062e+08
11700	4.480177e+08
12600	4.4893e+08
13500	4.498433e+08
14400	4.507574e+08
15300	4.516724e+08
16200	4.525883e+08
17100	4.539923e+08
18000	4.561703e+08
18900	4.583523e+08
19800	4.607539e+08
20700	4.670972e+08
21600	4.734549e+08
22500	4.812312e+08
23400	4.891321e+08
24300	4.951694e+08
25200	4.993659e+08
26100	5.035711e+08
27000	5.075425e+08
27900	5.112506e+08
28800	5.143062e+08
29700	5.161371e+08
30600	5.179715e+08
31500	5.198083e+08
32400	5.21648e+08
33300	5.234911e+08
34200	5.233181e+08
35100	5.217299e+08
36000	5.201358e+08
36900	5.185364e+08
37800	5.16932e+08
38700	5.153588e+08
39600	5.14028e+08
40500	5.126924e+08
41400	5.115526e+08
42300	5.122427e+08
43200	5.129333e+08
44100	5.136237e+08
45000	5.143148e+08
45900	5.143511e+08
46800	5.123895e+08
47700	5.104223e+08
48600	5.08449e+08
49500	5.064695e+08
50400	5.044834e+08
51300	5.024916e+08
52200	5.03189e+08
53100	5.058681e+08
54000	5.085527e+08
54900	5.112417e+08
55800	5.139356e+08
56700	5.166345e+08
57600	5.193388e+08
58500	5.220475e+08
59400	5.245519e+08
60300	5.248531e+08
61200	5.251535e+08
62100	5.254532e+08
63000	5.257522e+08
63900	5.262863e+08
64800	5.27587e+08
65700	5.288893e+08
66600	5.301932e+08
67500	5.301943e+08
68400	5.30049e+08
69300	5.299019e+08
70200	5.297536e+08
71100	5.286783e+08
72000	5.258954e+08
72900	5.231046e+08
73800	5.203061e+08
74700	5.174997e+08
75600	5.146852e+08
76500	5.118632e+08
77400	5.09007e+08
78300	5.061425e+08
79200	5.032702e+08
80100	5.003899e+08
81000	4.980887e+08
81900	4.996013e+08
82800	5.01116e+08
83700	5.026329e+08
84600	5.041519e+08
85500	5.021635e+08
86400	4.976786e+08
87300	4.931822e+08
88200	4.91287e+08
89100	4.914997e+08
90000	4.917115e+08
90900	4.919226e+08
91800	4.921329e+08
92700	4.923425e+08
93600	4.928238e+08
94500	4.933766e+08
95400	4.939294e+08
96300	4.944822e+08
97200	4.952206e+08
98100	4.965349e+08
99000	4.978509e+08
99900	4.991686e+08
100800	5.00488e+08
101700	5.018091e+08
102600	5.037734e+08
103500	5.064281e+08
104400	5.090876e+08
105300	5.117516e+08
106200	5.197823e+08
