#1
double	default(35136,2)
0	0.8973041
900	0.8973041
1800	0.8973041
2700	0.8973041
3600	0.8973041
4500	0.8973041
5400	0.8973041
6300	0.8973041
7200	0.8973041
8100	0.8973041
9000	0.8973041
9900	0.8973041
10800	0.8973041
11700	0.8973041
12600	0.8973041
13500	0.8973041
14400	0.8910023
15300	0.874578
16200	0.8515118
17100	0.8431415
18000	0.8366186
18900	0.8259786
19800	0.8156012
20700	0.8016125
21600	0.7853335
22500	0.7683528
23400	0.7506539
24300	0.7458007
25200	0.736131
26100	0.7270816
27000	0.7177422
27900	0.7129391
28800	0.7076397
29700	0.7023403
30600	0.6936073
31500	0.6889231
32400	0.6856284
33300	0.6821749
34200	0.6769747
35100	0.6693661
36000	0.6629604
36900	0.6602336
37800	0.6570741
38700	0.6537847
39600	0.6460805
40500	0.642618
41400	0.6427045
42300	0.6402375
43200	0.6345659
44100	0.6278845
45000	0.6245833
45900	0.6228165
46800	0.6166326
47700	0.6194224
48600	0.6191899
49500	0.6179345
50400	0.6190039
51300	0.617981
52200	0.6110997
53100	0.6087749
54000	0.6082635
54900	0.6100768
55800	0.6240254
56700	0.630856
57600	0.6374096
58500	0.6439597
59400	0.6587621
60300	0.6737376
61200	0.6685871
62100	0.6677214
63000	0.667202
63900	0.6775702
64800	0.6907888
65700	0.6820161
66600	0.6852711
67500	0.6830085
68400	0.6876529
69300	0.6816985
70200	0.6751226
71100	0.665817
72000	0.6520101
72900	0.6382032
73800	0.6269546
74700	0.6150518
75600	0.6086819
76500	0.6032885
77400	0.6001732
78300	0.5967326
79200	0.597244
80100	0.5977555
81000	0.5970115
81900	0.5892468
82800	0.5806452
83700	0.5735924
84600	0.5750355
85500	0.5744881
86400	0.5750106
87300	0.5755307
88200	0.5748862
89100	0.5767395
90000	0.5758561
90900	0.5735426
91800	0.5674201
92700	0.5608845
93600	0.5854109
94500	0.6089609
95400	0.6598008
96300	0.6827306
97200	0.6977356
98100	0.7035311
99000	0.707858
99900	0.7113909
100800	0.7172659
101700	0.7228488
102600	0.7258409
103500	0.7267897
104400	0.723907
105300	0.7260599
106200	0.7315333
107100	0.7388313
108000	0.7404368
108900	0.7420423
109800	0.7411666
110700	0.7439398
111600	0.7490848
112500	0.7506904
113400	0.7437938
114300	0.7459832
115200	0.7458737
116100	0.7457643
117000	0.7517121
117900	0.7517851
