#1
double	default(35136,2)
0	0.9413955
900	0.9415422
1800	0.9417014
2700	0.9418818
3600	0.942063
4500	0.9453023
5400	0.9455242
6300	0.9455081
7200	0.9452677
8100	0.9450271
9000	0.9423219
9900	0.9421287
10800	0.9419353
11700	0.9417417
12600	0.9415479
13500	0.941354
14400	0.9411598
15300	0.9409655
16200	0.9407709
17100	0.9404727
18000	0.9400101
18900	0.9395467
19800	0.9390366
20700	0.9376893
21600	0.9343467
22500	0.9326623
23400	0.930951
24300	0.9277353
25200	0.9268101
26100	0.9258831
27000	0.9250075
27900	0.92419
28800	0.9217055
29700	0.9212955
30600	0.9208846
31500	0.9204732
32400	0.9200611
33300	0.9196483
34200	0.9196871
35100	0.9200428
36000	0.9203998
36900	0.9207581
37800	0.9211174
38700	0.9214698
39600	0.9217679
40500	0.922067
41400	0.9241235
42300	0.9239713
43200	0.922013
44100	0.9218584
45000	0.9217036
45900	0.9216955
46800	0.9221348
47700	0.9243727
48600	0.9248077
49500	0.9252441
50400	0.9256819
51300	0.926121
52200	0.9259673
53100	0.9253767
54000	0.9247848
54900	0.924192
55800	0.9217886
56700	0.9211841
57600	0.9205784
58500	0.9199717
59400	0.9194107
60300	0.9193433
61200	0.919276
62100	0.9192089
63000	0.9191419
63900	0.9190223
64800	0.9187309
65700	0.9184392
66600	0.9181472
67500	0.918147
68400	0.9181795
69300	0.9182124
70200	0.9182457
71100	0.9184865
72000	0.9191098
72900	0.9197349
73800	0.9203617
74700	0.9209903
75600	0.9216207
76500	0.924055
77400	0.9246847
78300	0.9253162
79200	0.9259494
80100	0.9265844
81000	0.9270917
81900	0.9267582
82800	0.9264243
83700	0.9260899
84600	0.925755
85500	0.9261934
86400	0.9271821
87300	0.9281734
88200	0.9285912
89100	0.9285443
90000	0.9284976
90900	0.9284511
91800	0.9284047
92700	0.9283585
93600	0.9282524
94500	0.9281305
95400	0.9280086
96300	0.9278868
97200	0.927724
98100	0.9274342
99000	0.9271441
99900	0.9268536
100800	0.9265627
101700	0.9262715
102600	0.9258385
103500	0.9252532
104400	0.9246669
105300	0.9240796
106200	0.920479
107100	0.9184553
108000	0.9146901
108900	0.9131871
109800	0.9122199
110700	0.9112508
111600	0.9102799
112500	0.9076373
113400	0.9066499
114300	0.9056608
115200	0.9046698
116100	0.9036768
117000	0.9011727
117900	0.9010052
118800	0.9008377
119700	0.90067
120600	0.9005024
121500	0.9005283
122400	0.9011112
123300	0.9016956
124200	0.903869
125100	0.9044497
126000	0.9050319
126900	0.9053586
127800	0.905426
128700	0.9054941
129600	0.9055625
130500	0.9056314
131400	0.9057007
132300	0.905821
133200	0.9062791
134100	0.9067386
135000	0.9071993
135900	0.9076613
136800	0.9081246
137700	0.9080085
138600	0.9068992
139500	0.9057878
140400	0.9046742
141300	0.9035587
142200	0.90091
143100	0.9001195
144000	0.8993275
144900	0.8988994
145800	0.8985686
146700	0.8982374
147600	0.8979057
148500	0.8977121
149400	0.8976345
150300	0.8975571
151200	0.89748
152100	0.8974028
153000	0.8973258
153900	0.8975214
154800	0.8977931
155700	0.8980659
156600	0.89854
157500	0.899263
158400	0.8999878
159300	0.9007071
160200	0.901369
161100	0.903623
162000	0.9042804
162900	0.9049394
163800	0.9056001
164700	0.9062625
165600	0.9069128
166500	0.9074794
167400	0.9080475
168300	0.9102743
169200	0.9108379
170100	0.9114029
171000	0.9119694
171900	0.9125372
172800	0.9131065
173700	0.9137554
174600	0.913972
175500	0.9141887
176400	0.9144056
177300	0.9144773
178200	0.9143348
179100	0.9141922
180000	0.9140495
180900	0.9139068
181800	0.9137641
182700	0.913634
183600	0.9135287
184500	0.9134234
185400	0.913318
186300	0.9132126
187200	0.9131138
188100	0.9130445
189000	0.9129752
189900	0.9122016
190800	0.9112049
191700	0.9085496
192600	0.9075389
193500	0.9065278
194400	0.9055162
195300	0.9045042
196200	0.9034917
197100	0.9008748
198000	0.8998494
198900	0.8988233
199800	0.897797
200700	0.8967702
201600	0.8942008
202500	0.8931619
203400	0.8921224
204300	0.8910825
205200	0.8900421
206100	0.8875164
207000	0.8875251
207900	0.8880866
208800	0.8901221
209700	0.8907423
210600	0.8914972
211500	0.8922525
212400	0.8930081
213300	0.8938069
214200	0.8946756
215100	0.8970723
216000	0.8979218
216900	0.8985428
217800	0.8991642
218700	0.8997858
219600	0.9004077
220500	0.9015373
221400	0.904043
222300	0.9041158
223200	0.9041887
224100	0.9042617
225000	0.9039837
225900	0.9014343
226800	0.9004706
227700	0.8995064
228600	0.8988314
229500	0.8982778
230400	0.8977239
231300	0.8971698
232200	0.897263
233100	0.897558
234000	0.8978532
234900	0.8981487
235800	0.8984442
236700	0.8987399
237600	0.8990357
238500	0.8993317
239400	0.8994399
240300	0.8995155
241200	0.8994844
242100	0.8994534
243000	0.8997744
243900	0.9008082
244800	0.9034351
245700	0.9044576
246600	0.9054807
247500	0.9062416
248400	0.9067177
249300	0.9071941
250200	0.9076707
251100	0.9081475
252000	0.9102629
252900	0.9082036
253800	0.9078015
254700	0.9073993
255600	0.9069968
256500	0.9065942
257400	0.9065179
258300	0.9073671
259200	0.9082168
260100	0.910647
261000	0.9111749
261900	0.9114815
262800	0.9114684
263700	0.9114554
264600	0.9114424
265500	0.9114294
266400	0.9114164
267300	0.9114034
268200	0.9112145
269100	0.9109633
270000	0.910712
270900	0.9104606
271800	0.9085418
272700	0.9082391
273600	0.9079363
274500	0.9076333
275400	0.9073302
276300	0.907027
277200	0.9067237
278100	0.9064202
279000	0.9057704
279900	0.9043395
280800	0.9013091
281700	0.89986
282600	0.8984101
283500	0.8969597
284400	0.8939639
285300	0.8924963
286200	0.8910281
287100	0.8880798
288000	0.8871325
288900	0.8865361
289800	0.8859394
290700	0.8856537
291600	0.8856004
292500	0.8855471
293400	0.8854937
294300	0.8854404
295200	0.885423
296100	0.8856829
297000	0.8859604
297900	0.8862793
298800	0.8865984
299700	0.8873461
300600	0.8898977
301500	0.8907599
302400	0.8913681
303300	0.8917478
304200	0.8919903
305100	0.8922327
306000	0.8924754
306900	0.8928464
307800	0.8934268
308700	0.8940075
309600	0.8945885
310500	0.8967013
311400	0.8966772
312300	0.8945807
313200	0.8940158
314100	0.8934506
315000	0.8928853
315900	0.8923196
316800	0.8917539
317700	0.8914255
318600	0.891288
319500	0.8911504
320400	0.8910128
321300	0.8908752
322200	0.8907373
323100	0.8905996
324000	0.8904618
324900	0.8903239
325800	0.8906416
326700	0.8914976
327600	0.8923539
328500	0.8932106
329400	0.8940676
330300	0.8949251
331200	0.897308
332100	0.898157
333000	0.8990064
333900	0.8998561
334800	0.9007063
335700	0.9015568
336600	0.9017097
337500	0.9034084
338400	0.9035129
339300	0.9036176
340200	0.9037223
341100	0.9043869
342000	0.905661
342900	0.9069357
343800	0.906974
344700	0.9066001
345600	0.9062261
346500	0.9059275
347400	0.9056292
348300	0.9056392
349200	0.9058585
350100	0.9060776
351000	0.9062966
351900	0.9063947
352800	0.9064872
353700	0.9065797
354600	0.9066722
355500	0.9067405
356400	0.9067739
357300	0.9068073
358200	0.9068407
359100	0.906874
360000	0.9069075
360900	0.9069409
361800	0.9069743
362700	0.9069095
363600	0.9067562
364500	0.906603
365400	0.90645
366300	0.9055361
367200	0.9045261
368100	0.9035168
369000	0.9009046
369900	0.8998848
370800	0.8988658
371700	0.8978476
372600	0.89683
373500	0.8942721
374400	0.8932451
375300	0.8920779
376200	0.8908092
377100	0.8880617
378000	0.8867822
378900	0.8859267
379800	0.8859192
380700	0.8859116
381600	0.8859041
382500	0.8858967
383400	0.8859917
384300	0.8865572
385200	0.8871226
386100	0.8876874
387000	0.8878427
387900	0.8879217
388800	0.8880009
389700	0.8880799
390600	0.8905221
391500	0.8920782
392400	0.8936331
393300	0.8967185
394200	0.89653
395100	0.8947334
396000	0.8944703
396900	0.8942167
397800	0.8939688
398700	0.8937211
399600	0.8934738
400500	0.8932159
401400	0.8928307
402300	0.8924459
403200	0.8920613
404100	0.8916771
405000	0.8916378
405900	0.8919064
406800	0.8921747
407700	0.892443
408600	0.8927112
409500	0.8927868
410400	0.8927707
411300	0.8927545
412200	0.8922541
413100	0.8914872
414000	0.890721
414900	0.8899553
