#1
double	default(35136,2)
0	0.5395666
900	0.5367039
1800	0.5314165
2700	0.5187872
3600	0.5245461
4500	0.5255227
5400	0.5210436
6300	0.5206394
7200	0.5142599
8100	0.5089895
9000	0.5016136
9900	0.4821264
10800	0.4833466
11700	0.4837445
12600	0.483267
13500	0.4758673
14400	0.4637735
15300	0.4516798
16200	0.4349481
17100	0.4299875
18000	0.426089
18900	0.4196106
19800	0.4132921
20700	0.4051451
21600	0.3965419
22500	0.3873388
23400	0.3775118
24300	0.3747525
25200	0.3692546
26100	0.3641094
27000	0.3587523
27900	0.3558944
28800	0.3527414
29700	0.3495883
30600	0.3443922
31500	0.3416053
32400	0.3396449
33300	0.3375901
34200	0.3344961
35100	0.3298505
36000	0.3259233
36900	0.3242516
37800	0.3223145
38700	0.3202978
39600	0.3155745
40500	0.3134517
41400	0.3135048
42300	0.3119923
43200	0.3084948
44100	0.304351
45000	0.3022505
45900	0.3011262
46800	0.2981256
47700	0.2989665
48600	0.2988186
49500	0.2980198
50400	0.2987002
51300	0.2980493
52200	0.2995142
53100	0.3000977
54000	0.3002261
54900	0.299771
55800	0.3018954
56700	0.3061956
57600	0.3102573
58500	0.3142743
59400	0.3233494
60300	0.3325306
61200	0.3293729
62100	0.3288422
63000	0.3285237
63900	0.3348504
64800	0.3427153
65700	0.3374956
66600	0.3394324
67500	0.3380861
68400	0.3408495
69300	0.3373067
70200	0.3333797
71100	0.3276746
72000	0.3192099
72900	0.3107451
73800	0.3037593
74700	0.2985223
75600	0.3001211
76500	0.3014747
77400	0.3022566
78300	0.3031201
79200	0.3029918
80100	0.3028634
81000	0.3030501
81900	0.3049989
82800	0.3071578
83700	0.3089387
84600	0.3085683
85500	0.3087088
86400	0.3085747
87300	0.3084415
88200	0.3086067
89100	0.308138
90000	0.3083598
90900	0.3089515
91800	0.3099705
92700	0.3099705
93600	0.3059617
94500	0.300051
95400	0.3239862
96300	0.3379208
97200	0.3468486
98100	0.3502968
99000	0.3528713
99900	0.3549733
100800	0.3584688
101700	0.3617028
102600	0.363404
103500	0.3639434
104400	0.3623045
105300	0.3635285
106200	0.3666405
107100	0.3707899
108000	0.3717027
108900	0.3726156
109800	0.3721177
110700	0.3736944
111600	0.3766197
112500	0.3775326
113400	0.3736114
114300	0.3748563
115200	0.374794
116100	0.3747318
117000	0.3781135
117900	0.378155
118800	0.3791923
119700	0.3770139
120600	0.3742131
121500	0.3703542
122400	0.3711426
123300	0.3719309
124200	0.3744206
125100	0.3789848
126000	0.3805201
126900	0.3805409
127800	0.3818894
128700	0.3810803
129600	0.3816612
130500	0.3822421
131400	0.3833001
132300	0.383872
133200	0.3839792
134100	0.3848012
135000	0.3853552
135900	0.3863738
136800	0.3908056
137700	0.3944511
138600	0.39488
139500	0.3989365
140400	0.4028968
141300	0.406509
142200	0.409733
143100	0.4154116
144000	0.4218501
144900	0.4237096
145800	0.4266289
146700	0.4329351
147600	0.4359007
148500	0.4389051
149400	0.4371618
150300	0.442555
151200	0.4484112
152100	0.4544853
153000	0.4533958
153900	0.4468041
154800	0.4429363
155700	0.4397222
156600	0.4448158
157500	0.448956
158400	0.4556021
159300	0.4734158
160200	0.4847524
161100	0.4940894
162000	0.5025579
162900	0.5018943
163800	0.4992088
164700	0.5014349
165600	0.5086067
166500	0.5155487
167400	0.5197638
168300	0.5286885
169200	0.5313154
170100	0.5318879
171000	0.5350874
171900	0.5356936
172800	0.5408464
173700	0.5450898
174600	0.5520949
175500	0.5578875
176400	0.5636802
177300	0.567732
178200	0.5693873
179100	0.5726354
180000	0.5744156
180900	0.5821298
181800	0.5828481
182700	0.5802558
183600	0.5802871
184500	0.5811928
185400	0.5801934
186300	0.575821
187200	0.5848156
188100	0.5924361
189000	0.5935916
189900	0.5940914
190800	0.587158
191700	0.5846595
192600	0.5779447
193500	0.5719795
194400	0.572854
195300	0.5721669
196200	0.5730414
197100	0.5731975
198000	0.5669201
198900	0.5600429
199800	0.5511519
200700	0.5472789
201600	0.5469758
202500	0.5381858
203400	0.5370744
204300	0.5366702
205200	0.5275435
206100	0.5235695
207000	0.5191913
207900	0.515804
208800	0.5103167
209700	0.5040127
210600	0.4983865
211500	0.493161
212400	0.487909
213300	0.4846728
214200	0.4927101
215100	0.5041914
216000	0.5106485
216900	0.5259606
217800	0.5306756
218700	0.5204374
219600	0.5111079
220500	0.5075603
221400	0.5018178
222300	0.4931876
223200	0.4812511
224100	0.4667152
225000	0.4453878
225900	0.4322521
226800	0.42828
227700	0.4243095
228600	0.4193307
229500	0.4109727
230400	0.406569
231300	0.4040659
232200	0.4025371
233100	0.4017243
234000	0.3987757
234900	0.3957199
235800	0.3911094
236700	0.3821384
237600	0.3701467
238500	0.3662671
239400	0.3757069
240300	0.4022373
241200	0.4151717
242100	0.4210502
243000	0.42201
243900	0.4158515
244800	0.4156716
245700	0.4155116
246600	0.4187508
247500	0.4207303
248400	0.4214902
249300	0.4206903
250200	0.4226499
251100	0.4210502
252000	0.4162714
252900	0.4276869
253800	0.4596061
254700	0.4810654
255600	0.4956013
256500	0.4924183
257400	0.4843545
258300	0.4793147
259200	0.4775375
260100	0.4722173
261000	0.4726259
261900	0.4674779
262800	0.4663611
263700	0.467832
264600	0.4703107
265500	0.4728438
266400	0.4681316
267300	0.4634194
268200	0.4636373
269100	0.4629019
270000	0.4623844
270900	0.4640731
271800	0.4682133
272700	0.4693573
273600	0.480946
274500	0.4923387
275400	0.4815694
276300	0.4730345
277200	0.4714274
278100	0.4703652
279000	0.4724625
279900	0.4719722
280800	0.4764801
281700	0.4808797
282600	0.4835588
283500	0.4831874
284400	0.4895801
285300	0.4991027
286200	0.5136601
287100	0.5394655
288000	0.5450729
288900	0.5506804
289800	0.552499
290700	0.5570792
291600	0.5530715
292500	0.533774
293400	0.5175074
294300	0.5154467
295200	0.5088364
296100	0.5133283
297000	0.5099338
297900	0.515268
298800	0.5297999
299700	0.5257585
300600	0.5419577
301500	0.5434059
302400	0.5187872
303300	0.5096786
304200	0.5201342
305100	0.5217845
306000	0.5106995
306900	0.504957
307800	0.5093469
308700	0.5065649
309600	0.5389267
310500	0.5647242
311400	0.5600429
312300	0.5638149
313200	0.5515223
314100	0.5285201
315000	0.5165644
315900	0.5178778
316800	0.5086322
317700	0.499474
318600	0.4971133
319500	0.494222
320400	0.4956809
321300	0.500482
322200	0.4976969
323100	0.4969011
324000	0.4980682
324900	0.4962645
325800	0.4888904
326700	0.4794473
327600	0.4749139
328500	0.4773783
329400	0.4754042
330300	0.470692
331200	0.4700655
332100	0.4688126
333000	0.4710733
333900	0.4860522
334800	0.4946464
335700	0.4970603
336600	0.5027111
337500	0.5080962
338400	0.5056972
339300	0.502073
340200	0.5000576
341100	0.5060545
342000	0.5116439
342900	0.5106229
343800	0.5076879
344700	0.5064118
345600	0.5062076
346500	0.5040127
347400	0.5067435
348300	0.5092447
349200	0.513558
350100	0.5116439
351000	0.5081473
351900	0.5023282
352800	0.4947525
353700	0.4873519
354600	0.4826834
355500	0.4818612
356400	0.4773518
357300	0.4742602
358200	0.472517
359100	0.4686491
360000	0.4676413
360900	0.4625206
361800	0.45582
362700	0.4417378
363600	0.4306525
364500	0.4286754
365400	0.4243695
366300	0.4196906
367200	0.4128722
368100	0.409893
369000	0.4278487
369900	0.4409752
370800	0.4345348
371700	0.4374615
372600	0.43502
373500	0.4347145
374400	0.436154
375300	0.4326116
376200	0.431659
377100	0.4312276
378000	0.4301493
378900	0.432342
379800	0.4329351
380700	0.4329531
381600	0.4330789
382500	0.4313714
383400	0.4287653
384300	0.4283879
385200	0.4313355
386100	0.4345887
387000	0.4693846
387900	0.4769805
388800	0.51121
389700	0.5023282
390600	0.4959462
391500	0.5001902
392400	0.5198648
393300	0.5112865
394200	0.4885721
395100	0.4708554
396000	0.4585438
396900	0.4521973
397800	0.4502089
398700	0.4503724
399600	0.4750229
400500	0.4828426
401400	0.487458
402300	0.4931345
403200	0.4978826
404100	0.5019964
405000	0.5063352
405900	0.5002698
406800	0.4862113
407700	0.4764393
408600	0.4876437
409500	0.4800574
410400	0.4924183
411300	0.5050591
412200	0.4943281
413100	0.4844872
414000	0.4783863
414900	0.471836
415800	0.4682678
416700	0.4738244
417600	0.4818081
418500	0.4859196
419400	0.487909
420300	0.488466
421200	0.4891291
422100	0.4933998
423000	0.4902432
423900	0.4880946
424800	0.486397
425700	0.4954422
426600	0.509551
427500	0.5125881
428400	0.5105464
429300	0.5130476
