#1
double	default(35136,2)
0	0.821799
900	0.8222107
1800	0.8226575
2700	0.8231639
3600	0.8236723
4500	0.8255212
5400	0.8260203
6300	0.8259842
7200	0.8254435
8100	0.8249022
9000	0.824399
9900	0.8238567
10800	0.823314
11700	0.8227707
12600	0.8222269
13500	0.8216825
14400	0.8211376
15300	0.8205922
16200	0.8200463
17100	0.8192094
18000	0.8179112
18900	0.8166106
19800	0.8151791
20700	0.8113982
21600	0.8121903
22500	0.8076304
23400	0.8029975
24300	0.8042885
25200	0.8018687
26100	0.7994438
27000	0.7971538
27900	0.7950156
28800	0.7978389
29700	0.7967995
30600	0.7957581
31500	0.7947153
32400	0.7936709
33300	0.7926246
34200	0.7927228
35100	0.7936244
36000	0.7945294
36900	0.7954374
37800	0.7963482
38700	0.7972413
39600	0.7979969
40500	0.7987551
41400	0.7948415
42300	0.7944436
43200	0.7986183
44100	0.7982264
45000	0.797834
45900	0.7978134
46800	0.798927
47700	0.7954933
48600	0.7966311
49500	0.7977726
50400	0.7989178
51300	0.8000663
52200	0.7996642
53100	0.7981193
54000	0.7965713
54900	0.7950208
55800	0.7980493
56700	0.7965171
57600	0.7949819
58500	0.7934441
59400	0.7920223
60300	0.7918513
61200	0.7916808
62100	0.7915107
63000	0.7913409
63900	0.7910377
64800	0.7902993
65700	0.7895599
66600	0.7888197
67500	0.7888191
68400	0.7889016
69300	0.7889851
70200	0.7890693
71100	0.7896797
72000	0.7912596
72900	0.792844
73800	0.7944327
74700	0.7960259
75600	0.7976238
76500	0.7946624
77400	0.7963094
78300	0.7979611
79200	0.7996173
80100	0.8012782
81000	0.8026051
81900	0.8017329
82800	0.8008595
83700	0.7999848
84600	0.7991089
85500	0.8002555
86400	0.8028416
87300	0.8054343
88200	0.8065272
89100	0.8064045
90000	0.8062824
90900	0.8061607
91800	0.8060394
92700	0.8059185
93600	0.805641
94500	0.8053222
95400	0.8050035
96300	0.8046847
97200	0.8042589
98100	0.8035011
99000	0.8027423
99900	0.8019824
100800	0.8012216
101700	0.8004599
102600	0.7993272
103500	0.7977964
104400	0.7962629
105300	0.7947268
106200	0.7947301
107100	0.7896007
108000	0.7888598
108900	0.7851585
109800	0.7827766
110700	0.7803901
111600	0.7779992
112500	0.779832
113400	0.7774643
114300	0.7750923
115200	0.7727157
116100	0.7703345
117000	0.7722201
117900	0.7718282
118800	0.7714362
119700	0.7710437
120600	0.7706515
121500	0.7707122
122400	0.772076
123300	0.7734436
124200	0.7707954
125100	0.7721879
126000	0.7735841
126900	0.7743674
127800	0.7745293
128700	0.7746925
129600	0.7748565
130500	0.7750218
131400	0.7751879
132300	0.7754764
133200	0.776575
134100	0.777677
135000	0.7787818
135900	0.7798896
136800	0.7810008
137700	0.7807223
138600	0.778062
139500	0.7753968
140400	0.7727263
141300	0.7700512
142200	0.7716052
143100	0.7697555
144000	0.7679022
144900	0.7669006
145800	0.7661265
146700	0.7653514
147600	0.7645754
148500	0.7641224
149400	0.7639408
150300	0.7637596
151200	0.7635791
152100	0.7633985
153000	0.7632183
153900	0.763676
154800	0.7643119
155700	0.7649502
156600	0.7660595
157500	0.7677514
158400	0.7694474
159300	0.7711305
160200	0.7726794
161100	0.7702053
162000	0.7717819
162900	0.7733624
163800	0.7749468
164700	0.7765352
165600	0.7780947
166500	0.7794535
167400	0.7808159
168300	0.7779854
169200	0.7793733
170100	0.7807648
171000	0.7821597
171900	0.7835581
172800	0.7849601
173700	0.786558
174600	0.7870914
175500	0.7876252
176400	0.7881592
177300	0.7883358
178200	0.7879848
179100	0.7876336
180000	0.7872823
180900	0.786931
181800	0.7865794
182700	0.7862591
183600	0.7859998
184500	0.7857404
185400	0.7854809
186300	0.7852213
187200	0.7849781
188100	0.7848074
189000	0.7846366
189900	0.7827317
190800	0.7802771
191700	0.7820199
192600	0.7795962
193500	0.7771714
194400	0.7747456
195300	0.7723186
196200	0.7698906
197100	0.7715229
198000	0.7691235
198900	0.7667226
199800	0.7643209
200700	0.7619183
201600	0.7634192
202500	0.7610429
203400	0.7586654
204300	0.7562866
205200	0.7539071
206100	0.7552865
207000	0.7553061
207900	0.7565635
208800	0.75409
209700	0.7555085
210600	0.7572353
211500	0.7589628
212400	0.7606913
213300	0.7625183
214200	0.7645053
215100	0.7626253
216000	0.764613
216900	0.7660662
217800	0.7675201
218700	0.7689747
219600	0.77043
220500	0.773073
221400	0.7712125
222300	0.7713872
223200	0.7715621
224100	0.771737
225000	0.7710703
225900	0.7728322
226800	0.7705771
227700	0.7683209
228600	0.7667414
229500	0.7654459
230400	0.7641499
231300	0.7628534
232200	0.7630713
233100	0.7637617
234000	0.7644525
234900	0.765144
235800	0.7658354
236700	0.7665273
237600	0.7672194
238500	0.7679122
239400	0.7681653
240300	0.7683423
241200	0.7682695
242100	0.7681968
243000	0.7689481
243900	0.7713671
244800	0.7697547
245700	0.772207
246600	0.7746603
247500	0.7764851
248400	0.7776269
249300	0.7787693
250200	0.7799122
251100	0.7810557
252000	0.7779574
252900	0.7811902
253800	0.7802259
254700	0.7792613
255600	0.7782962
256500	0.7773307
257400	0.7771476
258300	0.7791842
259200	0.7812217
260100	0.7789033
261000	0.7802033
261900	0.7809582
262800	0.7809261
263700	0.7808941
264600	0.780862
265500	0.7808299
266400	0.7807979
267300	0.7807659
268200	0.7803007
269100	0.7796821
270000	0.7790632
270900	0.7784441
271800	0.7820013
272700	0.7812753
273600	0.7805491
274500	0.7798225
275400	0.7790957
276300	0.7783686
277200	0.7776411
278100	0.7769134
279000	0.775355
279900	0.7719236
280800	0.7725393
281700	0.7691482
282600	0.7657556
283500	0.7623617
284400	0.7628774
285300	0.7595206
286200	0.7561622
287100	0.7565483
288000	0.7544268
288900	0.7530912
289800	0.751755
290700	0.7511153
291600	0.7509959
292500	0.7508766
293400	0.7507568
294300	0.7506374
295200	0.7505985
296100	0.7511805
297000	0.751802
297900	0.7525162
298800	0.7532308
299700	0.7549051
300600	0.7535767
301500	0.7555487
302400	0.75694
303300	0.7578084
304200	0.758363
305100	0.7589176
306000	0.7594727
306900	0.7603212
307800	0.7616489
308700	0.7629772
309600	0.7643061
310500	0.7617571
311400	0.7617006
312300	0.7642882
313200	0.762996
314100	0.7617032
315000	0.7604103
315900	0.7591164
316800	0.7578224
317700	0.7570714
318600	0.7567569
319500	0.7564419
320400	0.7561272
321300	0.7558125
322200	0.7554972
323100	0.7551822
324000	0.7548671
324900	0.7545516
325800	0.7552783
326700	0.7572363
327600	0.7591949
328500	0.7611543
