#1
double	default(35136,2)
0	0.4262196
900	0.4251307
1800	0.4239489
2700	0.4226097
3600	0.4212649
4500	0.4163746
5400	0.4150546
6300	0.41515
7200	0.4165802
8100	0.418012
9000	0.4193429
9900	0.4207771
10800	0.4222127
11700	0.4236497
12600	0.425088
13500	0.4265279
14400	0.427969
15300	0.4294115
16200	0.4308555
17100	0.4330689
18000	0.4365027
18900	0.4399427
19800	0.4437289
20700	0.4537294
21600	0.4516342
22500	0.4636949
23400	0.4759488
24300	0.4725341
25200	0.4789344
26100	0.4853479
27000	0.4914049
27900	0.4970603
28800	0.4895929
29700	0.4923421
30600	0.4950966
31500	0.4978546
32400	0.5006171
33300	0.5033846
34200	0.5031248
35100	0.50074
36000	0.4983464
36900	0.4959448
37800	0.4935357
38700	0.4911734
39600	0.4891751
40500	0.4871697
41400	0.4975209
42300	0.4985734
43200	0.4875314
44100	0.4885681
45000	0.4896058
45900	0.4896603
46800	0.4867148
47700	0.495797
48600	0.4927874
49500	0.4897684
50400	0.4867393
51300	0.4837015
52200	0.4847652
53100	0.4888512
54000	0.4929456
54900	0.4970467
55800	0.4890364
56700	0.493089
57600	0.4971496
58500	0.5012169
59400	0.5049774
60300	0.5054297
61200	0.5058808
62100	0.5063308
63000	0.5067798
63900	0.5075818
64800	0.5095348
65700	0.5114903
66600	0.5134482
67500	0.5134499
68400	0.5132317
69300	0.5130108
70200	0.5127881
71100	0.5111735
72000	0.5069948
72900	0.5028042
73800	0.4986021
74700	0.4943881
75600	0.490162
76500	0.4979946
77400	0.4936385
78300	0.4892697
79200	0.484889
80100	0.4804961
81000	0.4769865
81900	0.4792934
82800	0.4816036
83700	0.483917
84600	0.4862337
85500	0.4832011
86400	0.476361
87300	0.4695034
88200	0.4666129
89100	0.4669373
90000	0.4672603
90900	0.4675823
91800	0.467903
92700	0.4682227
93600	0.4689568
94500	0.4697999
95400	0.470643
96300	0.4714861
97200	0.4726122
98100	0.4746167
99000	0.4766238
99900	0.4786335
100800	0.4806458
101700	0.4826606
102600	0.4856565
103500	0.4897053
104400	0.4937614
105300	0.4978244
106200	0.4978156
107100	0.5113825
108000	0.5133422
108900	0.523132
109800	0.529432
110700	0.5357441
111600	0.542068
112500	0.5372202
113400	0.5434826
114300	0.5497566
115200	0.5560424
116100	0.5623407
117000	0.5573533
117900	0.55839
118800	0.5594268
119700	0.5604648
120600	0.5615021
121500	0.5613416
122400	0.5577343
123300	0.5541173
124200	0.5611216
125100	0.5574386
126000	0.5537456
126900	0.5516737
127800	0.5512456
128700	0.5508141
129600	0.5503803
130500	0.549943
131400	0.5495036
132300	0.5487407
133200	0.5458348
134100	0.5429201
135000	0.539998
135900	0.5370679
136800	0.5341289
137700	0.5348654
138600	0.5419017
139500	0.5489511
140400	0.5560145
141300	0.56309
142200	0.5589796
143100	0.563872
144000	0.5687738
144900	0.5714231
145800	0.5734706
146700	0.5755206
147600	0.577573
148500	0.5787713
149400	0.5792515
150300	0.5797309
151200	0.5802083
152100	0.5806859
153000	0.5811625
153900	0.579952
154800	0.5782701
155700	0.5765819
156600	0.5736477
157500	0.5691729
158400	0.564687
159300	0.5602353
160200	0.5561386
161100	0.5626822
162000	0.5585123
162900	0.5543321
163800	0.5501414
164700	0.5459401
165600	0.5418154
166500	0.5382213
167400	0.534618
168300	0.5421044
169200	0.5384334
170100	0.5347531
171000	0.5310637
171900	0.5273649
172800	0.5236568
173700	0.5194302
174600	0.5180194
175500	0.5166077
176400	0.5151952
177300	0.5147282
178200	0.5156565
179100	0.5165853
180000	0.5175146
180900	0.5184438
181800	0.5193738
182700	0.5202208
183600	0.5209066
184500	0.5215928
185400	0.5222792
186300	0.5229658
187200	0.523609
188100	0.5240606
189000	0.5245123
189900	0.5295507
190800	0.536043
191700	0.5314334
192600	0.5378439
193500	0.5442574
194400	0.5506736
195300	0.5570927
196200	0.5635147
197100	0.5591973
198000	0.5655437
198900	0.5718939
199800	0.5782463
200700	0.5846011
201600	0.5806312
202500	0.5869165
203400	0.5932048
204300	0.5994966
205200	0.6057904
206100	0.6021419
207000	0.6020901
207900	0.5987643
208800	0.6053066
209700	0.6015547
210600	0.5969875
211500	0.5924181
212400	0.5878465
213300	0.5830142
214200	0.5777585
215100	0.5827312
216000	0.5774737
216900	0.5736301
217800	0.5697845
218700	0.5659373
219600	0.5620882
220500	0.5550973
221400	0.5600183
222300	0.5595562
223200	0.5590938
224100	0.5586311
225000	0.5603944
225900	0.5557344
226800	0.5616989
227700	0.5676664
228600	0.5718442
229500	0.5752706
230400	0.5786985
231300	0.5821278
232200	0.5815513
233100	0.5797252
234000	0.5778981
234900	0.5760693
235800	0.5742404
236700	0.5724106
237600	0.5705799
238500	0.5687476
239400	0.568078
240300	0.56761
241200	0.5678023
242100	0.5679946
243000	0.5660076
243900	0.5596094
244800	0.5638741
245700	0.5573881
246600	0.5508992
247500	0.5460727
248400	0.5430526
249300	0.5400311
250200	0.537008
251100	0.5339836
252000	0.5421785
252900	0.5336279
253800	0.5361784
254700	0.5387298
255600	0.5412824
256500	0.5438361
257400	0.5443204
258300	0.5389336
259200	0.5335446
260100	0.5396767
261000	0.5362382
261900	0.5342414
262800	0.5343263
263700	0.5344111
264600	0.5344959
265500	0.5345807
266400	0.5346654
267300	0.53475
268200	0.5359806
269100	0.5376168
270000	0.5392536
270900	0.5408911
271800	0.5314826
272700	0.5334027
273600	0.5353236
274500	0.5372453
275400	0.5391677
276300	0.5410909
277200	0.5430151
278100	0.5449398
279000	0.5490618
279900	0.5581375
280800	0.5565091
281700	0.5654783
282600	0.5744515
283500	0.5834283
284400	0.5820643
285300	0.5909428
286200	0.5998255
287100	0.5988044
288000	0.6044157
288900	0.6079483
289800	0.6114824
290700	0.6131745
291600	0.6134902
292500	0.6138059
293400	0.6141226
294300	0.6144384
295200	0.6145414
296100	0.613002
297000	0.6113582
297900	0.6094691
298800	0.6075791
299700	0.6031506
300600	0.606664
301500	0.6014482
302400	0.5977683
303300	0.5954714
304200	0.5940045
305100	0.5925378
306000	0.5910695
306900	0.5888252
307800	0.5853135
308700	0.5818003
309600	0.5782853
310500	0.5850274
311400	0.5851767
312300	0.5783328
313200	0.5817506
314100	0.5851699
315000	0.5885897
315900	0.5920118
316800	0.5954345
317700	0.597421
318600	0.5982528
319500	0.5990857
320400	0.5999181
321300	0.6007506
322200	0.6015844
323100	0.6024177
324000	0.6032512
324900	0.6040857
325800	0.6021634
