#1
double	default(35136,2)
0	0.06261133
900	0.06244094
1800	0.06227056
2700	0.06210017
3600	0.06192979
4500	0.0610842
5400	0.06023861
6300	0.05939303
7200	0.05854744
8100	0.05708881
9000	0.05563018
9900	0.05417156
10800	0.05271293
11700	0.05124386
12600	0.04977478
13500	0.04830571
14400	0.04683663
15300	0.04418047
16200	0.04152431
17100	0.03886815
18000	0.03621199
18900	0.03562076
19800	0.03502953
20700	0.0344383
21600	0.03384707
22500	0.03355146
23400	0.03325584
24300	0.03296023
25200	0.03266462
26100	0.03228295
27000	0.03190128
27900	0.03151962
28800	0.03113795
29700	0.0307276
30600	0.03031725
31500	0.0299069
32400	0.02949655
33300	0.0290862
34200	0.02867585
35100	0.0282655
36000	0.02785515
36900	0.02745701
37800	0.02705887
38700	0.02666073
39600	0.02626259
40500	0.02602158
41400	0.02578056
42300	0.02553955
43200	0.02529854
44100	0.02553955
45000	0.02578056
45900	0.02602158
46800	0.02626259
47700	0.02614208
48600	0.02602158
49500	0.02590107
50400	0.02578056
51300	0.02657278
52200	0.02736499
53100	0.0281572
54000	0.02894942
54900	0.03037091
55800	0.0317924
56700	0.03321389
57600	0.03463538
58500	0.03321389
59400	0.0317924
60300	0.03037091
61200	0.02894942
62100	0.02827771
63000	0.027606
63900	0.02693429
64800	0.02626259
65700	0.02652394
66600	0.0267853
67500	0.02704666
68400	0.02730802
69300	0.02680565
70200	0.02630328
71100	0.02580091
72000	0.02529854
72900	0.02445501
73800	0.02361147
74700	0.02276793
75600	0.0219244
76500	0.02162395
77400	0.0213235
78300	0.02102305
79200	0.02072261
80100	0.02044251
81000	0.02016242
81900	0.01988233
82800	0.01960224
83700	0.01960224
84600	0.01960224
85500	0.01960224
86400	0.01960224
87300	0.0196956
88200	0.01978897
89100	0.01988233
90000	0.01997569
90900	0.02262947
91800	0.02528326
92700	0.02793704
93600	0.03059082
94500	0.03110927
95400	0.03162772
96300	0.03214617
97200	0.03266462
98100	0.03305877
99000	0.03345292
99900	0.03384707
100800	0.03424122
101700	0.03463538
102600	0.03502953
103500	0.03542368
104400	0.03581783
105300	0.03591637
106200	0.03601491
107100	0.03611345
108000	0.03621199
108900	0.03621199
109800	0.03621199
110700	0.03621199
111600	0.03621199
112500	0.0366443
113400	0.03707662
114300	0.03750893
115200	0.03794125
116100	0.03778196
117000	0.03762266
117900	0.03746337
118800	0.03730407
119700	0.03746337
120600	0.03762266
121500	0.03778196
122400	0.03794125
123300	0.03794125
124200	0.03794125
125100	0.03794125
126000	0.03794125
126900	0.03794125
127800	0.03794125
128700	0.03794125
129600	0.03794125
130500	0.03810054
131400	0.03825984
132300	0.03841913
133200	0.03857843
134100	0.0393749
135000	0.04017137
135900	0.04096784
136800	0.04176432
137700	0.04276287
138600	0.04376141
139500	0.04475996
140400	0.04575851
141300	0.04734292
142200	0.04892734
143100	0.05051175
144000	0.05209616
144900	0.0513252
145800	0.05055423
146700	0.04978327
147600	0.04901231
148500	0.05009166
149400	0.051171
150300	0.05225035
151200	0.0533297
152100	0.05225035
153000	0.051171
153900	0.05009166
154800	0.04901231
155700	0.05105786
156600	0.0531034
157500	0.05514895
158400	0.0571945
159300	0.05804009
160200	0.05888567
161100	0.05973126
162000	0.06057685
162900	0.06143385
163800	0.06229085
164700	0.06314785
165600	0.06400485
166500	0.06417904
167400	0.06435323
168300	0.06452742
169200	0.06470161
