#1
double	default(35136,2)
0	0.07349297
900	0.07329972
1800	0.07310647
2700	0.07291322
3600	0.07271997
4500	0.07177015
5400	0.07082032
6300	0.06987049
7200	0.06892066
8100	0.06723002
9000	0.06553938
9900	0.06384874
10800	0.0621581
11700	0.06037115
12600	0.05858419
13500	0.05679724
14400	0.05501028
15300	0.0519894
16200	0.04896853
17100	0.04594765
18000	0.04292678
18900	0.04211108
19800	0.04129539
20700	0.04047969
21600	0.039664
22500	0.03925615
23400	0.03884831
24300	0.03844046
25200	0.03803261
26100	0.03757708
27000	0.03712156
27900	0.03666603
28800	0.0362105
29700	0.03573908
30600	0.03526766
31500	0.03479623
32400	0.03432481
33300	0.03385339
34200	0.03338197
35100	0.03291055
36000	0.03243913
36900	0.03198873
37800	0.03153833
38700	0.03108794
39600	0.03063754
40500	0.03037932
41400	0.03012111
42300	0.02986289
43200	0.02960468
44100	0.02986289
45000	0.03012111
45900	0.03037932
46800	0.03063754
47700	0.03050843
48600	0.03037932
49500	0.03025022
50400	0.03012111
51300	0.03101489
52200	0.03190868
53100	0.03280247
54000	0.03369625
54900	0.03546009
55800	0.03722392
56700	0.03898776
57600	0.04075159
58500	0.03898776
59400	0.03722392
60300	0.03546009
61200	0.03369625
62100	0.03293157
63000	0.0321669
63900	0.03140222
64800	0.03063754
65700	0.0309308
66600	0.03122405
67500	0.03151731
68400	0.03181056
69300	0.03125909
70200	0.03070762
71100	0.03015615
72000	0.02960468
72900	0.02870093
73800	0.02779717
74700	0.02689342
75600	0.02598967
76500	0.02562527
77400	0.02526087
78300	0.02489647
79200	0.02453207
80100	0.02417531
81000	0.02381856
81900	0.0234618
82800	0.02310504
83700	0.02310504
84600	0.02310504
85500	0.02310504
86400	0.02310504
87300	0.02322396
88200	0.02334288
89100	0.0234618
90000	0.02358072
90900	0.02658102
91800	0.02958133
92700	0.03258163
93600	0.03558194
94500	0.03619461
95400	0.03680727
96300	0.03741994
97200	0.03803261
98100	0.03857641
99000	0.0391202
99900	0.039664
100800	0.0402078
101700	0.04075159
102600	0.04129539
103500	0.04183918
104400	0.04238298
105300	0.04251893
106200	0.04265488
107100	0.04279083
108000	0.04292678
108900	0.04292678
109800	0.04292678
110700	0.04292678
111600	0.04292678
112500	0.04341211
113400	0.04389745
114300	0.04438278
115200	0.04486812
116100	0.04469773
117000	0.04452734
117900	0.04435695
118800	0.04418657
119700	0.04435695
120600	0.04452734
121500	0.04469773
122400	0.04486812
123300	0.04486812
124200	0.04486812
125100	0.04486812
126000	0.04486812
126900	0.04486812
127800	0.04486812
128700	0.04486812
129600	0.04486812
130500	0.04503851
131400	0.0452089
132300	0.04537929
133200	0.04554967
134100	0.04640162
135000	0.04725356
135900	0.0481055
136800	0.04895745
137700	0.05013589
138600	0.05131433
139500	0.05249277
140400	0.05367122
141300	0.05560746
142200	0.05754369
143100	0.05947993
144000	0.06141617
144900	0.06048875
145800	0.05956134
146700	0.05863392
147600	0.05770651
148500	0.05900489
149400	0.06030327
150300	0.06160165
151200	0.06290004
152100	0.06160165
153000	0.06030327
153900	0.05900489
154800	0.05770651
155700	0.06013011
156600	0.06255372
157500	0.06497733
158400	0.06740094
159300	0.06835077
160200	0.06930059
161100	0.07025042
162000	0.07120025
162900	0.07217962
163800	0.07315899
164700	0.07413836
165600	0.07511774
166500	0.07532083
167400	0.07552393
168300	0.07572702
169200	0.07593012
170100	0.0771487
171000	0.07836728
171900	0.07958585
172800	0.08080443
173700	0.08182769
174600	0.08285096
175500	0.08387422
176400	0.08489748
177300	0.08510266
178200	0.08530783
179100	0.085513
180000	0.08571817
180900	0.08448973
181800	0.0832613
182700	0.08203286
183600	0.08080443
184500	0.08121218
185400	0.08161993
186300	0.08202768
187200	0.08243543
188100	0.08182458
189000	0.08121373
189900	0.08060289
190800	0.07999204
191700	0.07897656
192600	0.07796108
193500	0.0769456
194400	0.07593012
195300	0.07474765
196200	0.07356519
197100	0.07238272
198000	0.07120025
198900	0.07025042
199800	0.06930059
200700	0.06835077
201600	0.06740094
202500	0.06702101
203400	0.06664108
204300	0.06626115
205200	0.06588121
206100	0.06550689
207000	0.06513256
