#1
double	default(35136,2)
0	0.05024585
900	0.05040004
1800	0.05055423
2700	0.05070843
3600	0.05086262
4500	0.05070843
5400	0.05055423
6300	0.05040004
7200	0.05024585
8100	0.05070843
9000	0.051171
9900	0.05163358
10800	0.05209616
11700	0.05320163
12600	0.0543071
13500	0.05541256
14400	0.05651803
15300	0.05541256
16200	0.0543071
17100	0.05320163
18000	0.05209616
18900	0.05240455
19800	0.05271293
20700	0.05302132
21600	0.0533297
22500	0.05599849
23400	0.05866728
24300	0.06133606
25200	0.06400485
26100	0.06470161
27000	0.06539837
27900	0.06609513
28800	0.06679189
29700	0.06506901
30600	0.06334613
31500	0.06162325
32400	0.05990038
33300	0.06127487
34200	0.06264937
35100	0.06402387
36000	0.06539837
36900	0.06368563
37800	0.0619729
38700	0.06026017
39600	0.05854744
40500	0.05837832
41400	0.0582092
42300	0.05804009
43200	0.05787097
44100	0.05787097
45000	0.05787097
45900	0.05787097
46800	0.05787097
47700	0.05905606
48600	0.06024115
49500	0.06142624
50400	0.06261133
51300	0.06142624
52200	0.06024115
53100	0.05905606
54000	0.05787097
54900	0.05688984
55800	0.05590872
56700	0.0549276
57600	0.05394647
58500	0.05394647
59400	0.05394647
60300	0.05394647
61200	0.05394647
62100	0.05363809
63000	0.0533297
63900	0.05302132
64800	0.05271293
65700	0.05271293
66600	0.05271293
67500	0.05271293
68400	0.05271293
69300	0.05225035
70200	0.05178778
71100	0.0513252
72000	0.05086262
72900	0.05244559
73800	0.05402856
74700	0.05561153
75600	0.0571945
76500	0.05736362
77400	0.05753273
78300	0.05770185
79200	0.05787097
80100	0.05804009
81000	0.0582092
81900	0.05837832
82800	0.05854744
83700	0.05837832
84600	0.0582092
85500	0.05804009
86400	0.05787097
87300	0.05787097
88200	0.05787097
89100	0.05787097
90000	0.05787097
90900	0.05658146
91800	0.05529195
92700	0.05400244
93600	0.05271293
94500	0.05240455
95400	0.05209616
96300	0.05178778
97200	0.05147939
98100	0.05058823
99000	0.04969707
99900	0.04880591
100800	0.04791476
101700	0.04669574
102600	0.04547671
103500	0.04425769
104400	0.04303867
105300	0.04425769
106200	0.04547671
107100	0.04669574
108000	0.04791476
108900	0.04710616
109800	0.04629757
110700	0.04548898
111600	0.04468039
112500	0.04535421
113400	0.04602804
114300	0.04670187
115200	0.04737569
116100	0.04724093
117000	0.04710616
117900	0.0469714
118800	0.04683663
119700	0.0465671
120600	0.04629757
121500	0.04602804
122400	0.04575851
123300	0.04657196
124200	0.04738541
125100	0.04819886
126000	0.04901231
126900	0.05173432
127800	0.05445634
128700	0.05717836
129600	0.05990038
130500	0.0584119
131400	0.05692343
132300	0.05543495
133200	0.05394647
134100	0.0533297
135000	0.05271293
135900	0.05209616
136800	0.05147939
