#1
double	default(35136,2)
0	0.660923
900	0.6638116
1800	0.6667001
2700	0.6695886
3600	0.6724772
4500	0.6705077
5400	0.6685382
6300	0.6665688
7200	0.6645993
8100	0.6672253
9000	0.6698512
9900	0.6724772
10800	0.6751031
11700	0.6869198
12600	0.6987365
13500	0.7105533
14400	0.72237
15300	0.7446904
16200	0.7670109
17100	0.7893313
18000	0.8116518
18900	0.8128335
19800	0.8140151
20700	0.8151968
21600	0.8163785
22500	0.8137525
23400	0.8111266
24300	0.8085007
25200	0.8058747
26100	0.8041679
27000	0.802461
27900	0.8007542
28800	0.7990473
29700	0.795371
30600	0.7916947
31500	0.7880183
32400	0.784342
33300	0.78211
34200	0.7798779
35100	0.7776459
36000	0.7754138
36900	0.7735757
37800	0.7717375
38700	0.7698994
39600	0.7680612
40500	0.7670108
41400	0.7659604
42300	0.7649101
43200	0.7638597
44100	0.7630719
45000	0.7622842
45900	0.7614964
46800	0.7607086
47700	0.7607086
48600	0.7607086
49500	0.7607086
50400	0.7607086
51300	0.7622842
52200	0.7638597
53100	0.7654353
54000	0.7670108
54900	0.770162
55800	0.7733131
56700	0.7764642
57600	0.7796153
58500	0.7827665
59400	0.7859176
60300	0.7890687
61200	0.7922199
62100	0.7948458
63000	0.7974717
63900	0.8000977
64800	0.8027236
65700	0.8045617
66600	0.8063999
67500	0.8082381
68400	0.8100762
69300	0.8094197
70200	0.8087632
71100	0.8081068
72000	0.8074503
72900	0.8015419
73800	0.7956336
74700	0.7897252
75600	0.7838168
76500	0.7748886
77400	0.7659604
78300	0.7570323
79200	0.7481041
80100	0.7347118
81000	0.7213195
81900	0.7079273
82800	0.694535
83700	0.689802
84600	0.6850689
85500	0.6803359
86400	0.6756028
87300	0.6788439
88200	0.682085
89100	0.6853261
90000	0.6885672
90900	0.6863574
91800	0.6841475
92700	0.6819377
93600	0.6797279
94500	0.6826743
95400	0.6856208
96300	0.6885672
97200	0.6915137
98100	0.7047727
99000	0.7180318
99900	0.7312908
100800	0.7445498
101700	0.7695947
102600	0.7946396
103500	0.8196845
104400	0.8447294
105300	0.8460553
106200	0.8473812
107100	0.8487071
108000	0.850033
108900	0.8470865
109800	0.8441401
110700	0.8411936
111600	0.8382472
112500	0.836332
113400	0.8344168
114300	0.8325016
115200	0.8305864
116100	0.8264614
117000	0.8223363
117900	0.8182113
118800	0.8140862
119700	0.8115817
120600	0.8090773
121500	0.8065728
122400	0.8040683
123300	0.8020058
124200	0.7999432
125100	0.7978807
126000	0.7958182
126900	0.7946396
127800	0.793461
128700	0.7922824
129600	0.7911039
130500	0.7902199
131400	0.789336
132300	0.7884521
133200	0.7875681
134100	0.7875681
135000	0.7875681
135900	0.7875681
136800	0.7875681
137700	0.789336
138600	0.7911039
139500	0.7928718
140400	0.7946397
141300	0.7981754
142200	0.8017111
143100	0.8052469
144000	0.8087826
144900	0.8123184
145800	0.8158541
146700	0.8193899
147600	0.8229256
148500	0.8258721
149400	0.8288185
150300	0.8317649
151200	0.8347114
152100	0.8367739
153000	0.8388365
153900	0.840899
154800	0.8429615
155700	0.8422249
156600	0.8414883
157500	0.8407517
158400	0.8400151
159300	0.8333855
160200	0.826756
161100	0.8201265
162000	0.813497
162900	0.803479
163800	0.7934611
164700	0.7834431
165600	0.7734251
166500	0.7583982
167400	0.7433713
168300	0.7283444
169200	0.7133174
170100	0.7091676
171000	0.7050178
171900	0.700868
172800	0.6967182
173700	0.7004664
174600	0.7042147
175500	0.7079629
176400	0.7117111
177300	0.7091555
178200	0.7065999
179100	0.7040443
180000	0.7014887
180900	0.7048962
181800	0.7083036
182700	0.7117111
183600	0.7151186
184500	0.7304523
185400	0.745786
186300	0.7611197
187200	0.7764534
188100	0.8054171
189000	0.8343808
189900	0.8633444
190800	0.8923081
191700	0.8938415
192600	0.8953748
193500	0.8969082
194400	0.8984416
195300	0.8950341
196200	0.8916266
197100	0.8882191
198000	0.8848117
198900	0.8825968
199800	0.8803819
200700	0.878167
201600	0.8759522
202500	0.8711817
203400	0.8664112
204300	0.8616407
205200	0.8568702
206100	0.8539738
207000	0.8510775
207900	0.8481811
208800	0.8452847
209700	0.8428995
210600	0.8405143
211500	0.838129
212400	0.8357438
213300	0.8343808
214200	0.8330178
215100	0.8316548
216000	0.8302918
216900	0.8292696
217800	0.8282473
218700	0.827225
219600	0.8262028
220500	0.8262028
221400	0.8262028
222300	0.8262028
223200	0.8262028
224100	0.8282473
225000	0.8302918
225900	0.8323363
226800	0.8343808
227700	0.8384697
228600	0.8425587
229500	0.8466477
230400	0.8507367
231300	0.8548257
232200	0.8589147
233100	0.8630037
234000	0.8670927
234900	0.8705002
235800	0.8739077
236700	0.8773152
237600	0.8807226
238500	0.8831079
239400	0.8854931
240300	0.8878784
241200	0.8902636
242100	0.8894117
243000	0.8885599
243900	0.887708
244800	0.8868561
245700	0.8791893
246600	0.8715224
247500	0.8638556
248400	0.8561887
249300	0.8446033
250200	0.8330178
251100	0.8214323
252000	0.8098468
252900	0.7924686
253800	0.7750905
254700	0.7577123
255600	0.7403341
256500	0.7322824
257400	0.7242307
258300	0.716179
259200	0.7081273
260100	0.7121496
261000	0.7161718
261900	0.7201941
262800	0.7242163
263700	0.7214739
264600	0.7187314
265500	0.715989
266400	0.7132465
267300	0.7169031
268200	0.7205597
269100	0.7242163
270000	0.7278729
270900	0.7443276
271800	0.7607823
272700	0.777237
273600	0.7936917
274500	0.8247728
275400	0.8558539
276300	0.8869349
277200	0.918016
278100	0.9196615
279000	0.921307
279900	0.9229524
280800	0.9245979
281700	0.9209413
282600	0.9172847
283500	0.9136281
284400	0.9099715
285300	0.9075948
286200	0.905218
287100	0.9028412
288000	0.9004644
288900	0.8953452
289800	0.8902259
290700	0.8851067
291600	0.8799874
292500	0.8768793
293400	0.8737712
294300	0.8706631
295200	0.867555
296100	0.8649954
297000	0.8624357
297900	0.8598761
298800	0.8573165
299700	0.8558538
300600	0.8543912
301500	0.8529286
302400	0.8514659
303300	0.850369
304200	0.849272
305100	0.848175
306000	0.847078
306900	0.847078
307800	0.847078
308700	0.847078
309600	0.847078
310500	0.849272
311400	0.851466
312300	0.8536599
313200	0.8558539
314100	0.8602418
315000	0.8646297
315900	0.8690176
316800	0.8734055
317700	0.8777934
318600	0.8821814
319500	0.8865693
320400	0.8909572
321300	0.8946138
322200	0.8982704
323100	0.901927
324000	0.9055836
324900	0.9081432
325800	0.9107028
326700	0.9132625
327600	0.9158221
328500	0.9149079
329400	0.9139938
330300	0.9130796
331200	0.9121655
332100	0.9039381
333000	0.8957108
333900	0.8874834
334800	0.8792561
335700	0.8668237
336600	0.8543912
337500	0.8419588
338400	0.8295264
339300	0.8108777
340200	0.7922291
341100	0.7735804
342000	0.7549318
342900	0.7438328
343800	0.7327338
344700	0.7216348
345600	0.7105358
346500	0.7146159
347400	0.718696
348300	0.7227761
349200	0.7268562
350100	0.7240743
351000	0.7212924
351900	0.7185105
352800	0.7157287
353700	0.7194378
354600	0.723147
355500	0.7268562
356400	0.7305654
357300	0.7472567
358200	0.7639481
359100	0.7806394
360000	0.7973307
360900	0.8288588
361800	0.8603869
362700	0.8919149
363600	0.923443
364500	0.9251121
365400	0.9267812
366300	0.9284504
367200	0.9301195
368100	0.9264103
369000	0.9227011
369900	0.918992
370800	0.9152828
371700	0.9128718
372600	0.9104608
373500	0.9080498
374400	0.9056389
375300	0.900446
376200	0.8952532
377100	0.8900603
378000	0.8848675
378900	0.8817146
379800	0.8785618
380700	0.875409
381600	0.8722562
382500	0.8696598
383400	0.8670633
384300	0.8644669
385200	0.8618705
386100	0.8603868
387000	0.8589032
387900	0.8574195
388800	0.8559359
389700	0.8548231
390600	0.8537103
391500	0.8525976
392400	0.8514848
393300	0.8514848
394200	0.8514848
395100	0.8514848
396000	0.8514848
396900	0.8537103
397800	0.8559358
398700	0.8581613
399600	0.8603868
400500	0.8648379
401400	0.8692889
402300	0.8737399
403200	0.8781909
404100	0.8826419
405000	0.8870929
405900	0.891544
406800	0.895995
407700	0.8997042
408600	0.9034134
409500	0.9071226
410400	0.9108317
411300	0.9134282
412200	0.9160246
413100	0.918621
414000	0.9212174
414900	0.9202902
415800	0.9193629
416700	0.9184356
417600	0.9175083
418500	0.9091626
419400	0.900817
420300	0.8924713
421200	0.8841256
422100	0.8715144
423000	0.8589032
423900	0.8462919
424800	0.8336807
425700	0.8147639
426600	0.795847
427500	0.7769302
428400	0.7580134
429300	0.7518932
430200	0.7457731
431100	0.739653
432000	0.7335329
432900	0.7365847
433800	0.7396366
