#1
double	default(35136,2)
0	0.3334164
900	0.3363049
1800	0.3391934
2700	0.342082
3600	0.3449705
4500	0.3430011
5400	0.3410316
6300	0.3390621
7200	0.3370927
8100	0.3397186
9000	0.3423446
9900	0.3449705
10800	0.3475964
11700	0.3594132
12600	0.3712299
13500	0.3830466
14400	0.3948633
15300	0.4171838
16200	0.4395042
17100	0.4618247
18000	0.4841451
18900	0.4853268
19800	0.4865085
20700	0.4876902
21600	0.4888718
22500	0.4862459
23400	0.4836199
24300	0.480994
25200	0.4783681
26100	0.4766612
27000	0.4749543
27900	0.4732475
28800	0.4715406
29700	0.4678643
30600	0.464188
31500	0.4605117
32400	0.4568354
33300	0.4546033
34200	0.4523713
35100	0.4501392
36000	0.4479072
36900	0.446069
37800	0.4442308
38700	0.4423927
39600	0.4405545
40500	0.4395042
41400	0.4384538
42300	0.4374034
43200	0.436353
44100	0.4355653
45000	0.4347775
45900	0.4339897
46800	0.433202
47700	0.433202
48600	0.433202
49500	0.433202
50400	0.433202
51300	0.4347775
52200	0.4363531
53100	0.4379286
54000	0.4395042
54900	0.4426553
55800	0.4458064
56700	0.4489575
57600	0.4521087
58500	0.4552598
59400	0.4584109
60300	0.4615621
61200	0.4647132
62100	0.4673391
63000	0.4699651
63900	0.472591
64800	0.4752169
65700	0.4770551
66600	0.4788932
67500	0.4807314
68400	0.4825696
69300	0.4819131
70200	0.4812566
71100	0.4806001
72000	0.4799436
72900	0.4740353
73800	0.4681269
74700	0.4622185
75600	0.4563102
76500	0.447382
77400	0.4384538
78300	0.4295256
79200	0.4205974
80100	0.4072051
81000	0.3938129
81900	0.3804206
82800	0.3670283
83700	0.3622953
84600	0.3575622
85500	0.3528292
86400	0.3480962
87300	0.3513372
88200	0.3545783
89100	0.3578194
90000	0.3610605
90900	0.3588507
91800	0.3566409
92700	0.354431
93600	0.3522212
94500	0.3551677
95400	0.3581141
96300	0.3610605
97200	0.364007
98100	0.377266
99000	0.3905251
99900	0.4037841
100800	0.4170432
101700	0.4420881
102600	0.467133
103500	0.4921778
104400	0.5172227
105300	0.5185486
106200	0.5198745
107100	0.5212004
108000	0.5225263
108900	0.5195799
109800	0.5166334
110700	0.513687
111600	0.5107405
112500	0.5088253
113400	0.5069101
114300	0.5049949
115200	0.5030797
116100	0.4989547
117000	0.4948297
117900	0.4907046
118800	0.4865796
119700	0.4840751
120600	0.4815706
121500	0.4790661
122400	0.4765616
123300	0.4744991
124200	0.4724366
125100	0.4703741
126000	0.4683115
126900	0.4671329
127800	0.4659544
128700	0.4647758
129600	0.4635972
130500	0.4627133
131400	0.4618293
132300	0.4609454
133200	0.4600615
134100	0.4600615
135000	0.4600615
135900	0.4600615
136800	0.4600615
137700	0.4618293
138600	0.4635972
139500	0.4653651
140400	0.467133
141300	0.4706687
142200	0.4742045
143100	0.4777402
144000	0.481276
144900	0.4848117
145800	0.4883475
146700	0.4918832
147600	0.495419
148500	0.4983654
149400	0.5013118
150300	0.5042583
151200	0.5072047
152100	0.5092673
153000	0.5113298
153900	0.5133923
154800	0.5154549
155700	0.5147182
156600	0.5139816
157500	0.513245
158400	0.5125084
159300	0.5058789
160200	0.4992493
161100	0.4926198
162000	0.4859903
162900	0.4759723
163800	0.4659544
164700	0.4559364
165600	0.4459185
166500	0.4308916
167400	0.4158646
168300	0.4008377
169200	0.3858108
170100	0.381661
171000	0.3775111
171900	0.3733613
172800	0.3692115
173700	0.3729598
174600	0.376708
175500	0.3804562
176400	0.3842045
177300	0.3816488
178200	0.3790932
179100	0.3765376
180000	0.373982
180900	0.3773895
181800	0.380797
182700	0.3842045
183600	0.3876119
184500	0.4029456
185400	0.4182794
186300	0.4336131
187200	0.4489468
188100	0.4779104
189000	0.5068741
189900	0.5358378
190800	0.5648014
191700	0.5663348
192600	0.5678682
193500	0.5694016
194400	0.5709349
195300	0.5675274
196200	0.56412
197100	0.5607125
198000	0.557305
198900	0.5550901
199800	0.5528752
200700	0.5506604
201600	0.5484455
202500	0.543675
203400	0.5389045
204300	0.534134
205200	0.5293635
206100	0.5264672
207000	0.5235708
207900	0.5206744
208800	0.5177781
209700	0.5153928
210600	0.5130076
211500	0.5106223
212400	0.5082371
213300	0.5068741
214200	0.5055111
215100	0.5041481
216000	0.5027851
216900	0.5017629
217800	0.5007406
218700	0.4997184
219600	0.4986961
220500	0.4986961
221400	0.4986961
222300	0.4986961
223200	0.4986961
224100	0.5007406
225000	0.5027851
225900	0.5048296
226800	0.5068741
227700	0.5109631
228600	0.5150521
229500	0.5191411
230400	0.52323
231300	0.527319
232200	0.531408
233100	0.5354971
234000	0.5395861
234900	0.5429935
235800	0.546401
236700	0.5498085
237600	0.553216
238500	0.5556012
239400	0.5579865
240300	0.5603717
241200	0.562757
242100	0.5619051
243000	0.5610532
243900	0.5602013
244800	0.5593495
245700	0.5516826
246600	0.5440158
247500	0.5363489
248400	0.5286821
249300	0.5170966
250200	0.5055111
251100	0.4939257
252000	0.4823402
252900	0.464962
253800	0.4475838
254700	0.4302056
255600	0.4128274
256500	0.4047757
257400	0.396724
258300	0.3886724
259200	0.3806207
260100	0.3846429
261000	0.3886652
261900	0.3926874
262800	0.3967097
263700	0.3939672
264600	0.3912248
265500	0.3884823
