#1
double	default(44598,2)
0	6.204289e+08
900	6.183624e+08
1800	6.145457e+08
2700	6.054292e+08
3600	6.095863e+08
3600	6.095863e+08
4500	6.102913e+08
5400	6.07058e+08
6300	6.067663e+08
7200	6.017461e+08
7200	6.017461e+08
8100	5.96726e+08
9000	5.897002e+08
9900	5.718318e+08
10800	5.729501e+08
10800	5.729501e+08
11700	5.733148e+08
12600	5.728772e+08
13500	5.661188e+08
14400	5.553249e+08
14400	5.553249e+08
15300	5.445309e+08
16200	5.29118e+08
17100	5.224082e+08
18000	5.17303e+08
18000	5.17303e+08
18900	5.094263e+08
19800	5.017442e+08
20700	4.910961e+08
21600	4.785761e+08
21600	4.785761e+08
22500	4.660561e+08
23400	4.536334e+08
24300	4.504e+08
25200	4.439577e+08
25200	4.439577e+08
26100	4.379287e+08
27000	4.318024e+08
27900	4.288608e+08
28800	4.256153e+08
28800	4.256153e+08
29700	4.223699e+08
30600	4.170215e+08
31500	4.141528e+08
32400	4.12135e+08
32400	4.12135e+08
33300	4.1002e+08
34200	4.068353e+08
35100	4.02508e+08
36000	3.9891e+08
36000	3.9891e+08
36900	3.973785e+08
37800	3.956038e+08
38700	3.937562e+08
39600	3.894289e+08
39600	3.894289e+08
40500	3.87484e+08
41400	3.875327e+08
42300	3.861469e+08
43200	3.829622e+08
43200	3.829622e+08
44100	3.792184e+08
45000	3.774924e+08
45900	3.765685e+08
46800	3.733352e+08
46800	3.733352e+08
47700	3.747939e+08
48600	3.746723e+08
49500	3.740159e+08
50400	3.745751e+08
50400	3.745751e+08
51300	3.740402e+08
52200	3.704423e+08
53100	3.692267e+08
54000	3.689593e+08
54000	3.689593e+08
54900	3.699074e+08
55800	3.772006e+08
56700	3.808796e+08
57600	3.845587e+08
57600	3.845587e+08
58500	3.882377e+08
59400	3.965519e+08
60300	4.049634e+08
61200	4.020704e+08
61200	4.020704e+08
62100	4.015842e+08
63000	4.012925e+08
63900	4.072e+08
64800	4.152954e+08
64800	4.152954e+08
65700	4.099228e+08
66600	4.119163e+08
67500	4.105306e+08
68400	4.133749e+08
68400	4.133749e+08
69300	4.097283e+08
70200	4.057413e+08
71100	4.005146e+08
72000	3.927595e+08
72000	3.927595e+08
72900	3.850044e+08
73800	3.787322e+08
74700	3.725087e+08
75600	3.691781e+08
75600	3.691781e+08
76500	3.663581e+08
77400	3.647292e+08
78300	3.629303e+08
79200	3.631977e+08
79200	3.631977e+08
80100	3.634651e+08
81000	3.630761e+08
81900	3.590163e+08
82800	3.545188e+08
82800	3.545188e+08
83700	3.508965e+08
84600	3.516015e+08
85500	3.513341e+08
86400	3.515893e+08
86400	3.515893e+08
87300	3.518446e+08
88200	3.515286e+08
89100	3.524767e+08
90000	3.520148e+08
90000	3.520148e+08
90900	3.508722e+08
91800	3.47882e+08
92700	3.446973e+08
93600	3.570106e+08
93600	3.570106e+08
94500	3.69324e+08
95400	3.971354e+08
96300	4.103604e+08
97200	4.195498e+08
97200	4.195498e+08
98100	4.230992e+08
99000	4.25749e+08
99900	4.279127e+08
100800	4.315107e+08
100800	4.315107e+08
101700	4.351086e+08
102600	4.371021e+08
103500	4.377342e+08
104400	4.358136e+08
104400	4.358136e+08
105300	4.37248e+08
106200	4.408946e+08
107100	4.457567e+08
108000	4.468264e+08
108000	4.468264e+08
108900	4.47896e+08
109800	4.473126e+08
110700	4.491602e+08
111600	4.52588e+08
111600	4.52588e+08
112500	4.536577e+08
113400	4.490629e+08
114300	4.505216e+08
115200	4.504487e+08
115200	4.504487e+08
116100	4.503757e+08
117000	4.543384e+08
117900	4.54387e+08
118800	4.556025e+08
118800	4.556025e+08
119700	4.530499e+08
120600	4.49768e+08
121500	4.452462e+08
122400	4.4617e+08
122400	4.4617e+08
123300	4.470938e+08
124200	4.500111e+08
125100	4.553594e+08
126000	4.571584e+08
126000	4.571584e+08
126900	4.571827e+08
127800	4.587629e+08
128700	4.578148e+08
129600	4.584955e+08
129600	4.584955e+08
130500	4.591762e+08
131400	4.605619e+08
132300	4.613398e+08
133200	4.614857e+08
133200	4.614857e+08
134100	4.62604e+08
135000	4.633576e+08
135900	4.647433e+08
136800	4.707724e+08
136800	4.707724e+08
137700	4.757317e+08
138600	4.763152e+08
139500	4.818337e+08
140400	4.874495e+08
140400	4.874495e+08
141300	4.933084e+08
142200	4.974169e+08
143100	5.043211e+08
144000	5.121491e+08
144000	5.121491e+08
144900	5.1441e+08
145800	5.179594e+08
146700	5.263952e+08
147600	5.304064e+08
147600	5.304064e+08
148500	5.331292e+08
149400	5.315733e+08
150300	5.363869e+08
151200	5.416137e+08
151200	5.416137e+08
152100	5.470349e+08
153000	5.460625e+08
153900	5.401793e+08
154800	5.367272e+08
154800	5.367272e+08
155700	5.338586e+08
156600	5.384047e+08
157500	5.420999e+08
158400	5.480317e+08
158400	5.480317e+08
159300	5.639309e+08
160200	5.742386e+08
161100	5.827959e+08
162000	5.905997e+08
162000	5.905997e+08
162900	5.899676e+08
163800	5.874879e+08
164700	5.8953e+08
165600	5.963613e+08
165600	5.963613e+08
166500	6.029738e+08
167400	6.061341e+08
168300	6.125765e+08
169200	6.144727e+08
169200	6.144727e+08
170100	6.14886e+08
171000	6.171955e+08
171900	6.176331e+08
172800	6.213526e+08
172800	6.213526e+08
173700	6.244158e+08
174600	6.294724e+08
175500	6.336538e+08
176400	6.378353e+08
176400	6.378353e+08
177300	6.408255e+08
